cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxvm,Sieve,crexx,rxvm,equivalent-port,A,yes,no,5500,normalized_work_per_second,10,4931.298052,4932.222348,4944.870493,4970.962769,5013.595961,13.165628,0.266248,1.664309,no
sieve-rxbvm,Sieve,crexx,rxbvm,equivalent-port,A,yes,no,5500,normalized_work_per_second,10,4405.021725,4417.737397,4432.336584,4442.658408,4453.809141,10.465372,0.236114,1.100715,no
sieve-oorexx,Sieve,oorexx,oorexx,equivalent-port,A,yes,no,5500,normalized_work_per_second,10,711.586215,713.606896,714.825340,717.143852,720.297202,1.921715,0.268837,1.218618,no
sieve-netrexx,Sieve,netrexx,netrexx,decimal-rexx-port,A,yes,no,5500,normalized_work_per_second,10,2699.691253,2727.430369,2732.748906,2739.548608,2768.755550,6.035718,0.220866,2.527283,no
permute-rxvm,Permute,crexx,rxvm,equivalent-port,A,yes,no,5000,normalized_work_per_second,10,2480.343280,2508.677665,2518.980371,2521.679847,2530.301627,4.612682,0.183117,1.983277,no
permute-rxbvm,Permute,crexx,rxbvm,equivalent-port,A,yes,no,5000,normalized_work_per_second,10,2304.261086,2309.298959,2310.786003,2313.029934,2317.414396,1.946830,0.084250,0.569214,no
permute-oorexx,Permute,oorexx,oorexx,equivalent-port,A,yes,no,5000,normalized_work_per_second,10,290.206955,314.623061,316.668076,317.267380,319.971535,1.508849,0.476477,9.399299,no
permute-netrexx,Permute,netrexx,netrexx,decimal-rexx-port,A,yes,no,5000,normalized_work_per_second,10,4193.378488,4266.563598,4333.997185,4417.544045,4530.048263,90.412928,2.086133,7.768112,no
bounce-rxvm,Bounce,crexx,rxvm,equivalent-port,A,yes,no,4200,normalized_work_per_second,10,3596.109010,3643.366937,3681.108369,3697.758721,3739.006653,18.468786,0.501718,3.881919,no
bounce-rxbvm,Bounce,crexx,rxbvm,equivalent-port,A,yes,no,4200,normalized_work_per_second,10,3388.405683,3392.349663,3406.522715,3423.083322,3449.139563,17.411517,0.511123,1.782870,no
bounce-oorexx,Bounce,oorexx,oorexx,equivalent-port,A,yes,no,4200,normalized_work_per_second,20,880.112537,989.740691,994.253286,997.550644,1002.527563,4.065739,0.408924,12.312258,yes
bounce-netrexx,Bounce,netrexx,netrexx,decimal-rexx-port,A,yes,no,4200,normalized_work_per_second,10,1963.952126,2018.298363,2029.067675,2061.834569,2101.918000,19.466868,0.959400,6.799471,no
richards-rxvm,Richards,crexx,rxvm,common-state-machine,A,yes,no,20,normalized_work_per_second,10,6.317229,6.404752,6.447334,6.467906,6.553894,0.023917,0.370960,3.670737,no
richards-rxbvm,Richards,crexx,rxbvm,common-state-machine,A,yes,no,20,normalized_work_per_second,10,6.187056,6.277468,6.307512,6.350855,6.392111,0.043025,0.682120,3.250953,no
richards-oorexx,Richards,oorexx,oorexx,common-state-machine,A,yes,no,20,normalized_work_per_second,10,11.306909,11.368889,11.426258,11.444355,11.485414,0.044578,0.390140,1.562238,no
richards-netrexx,Richards,netrexx,netrexx,decimal-rexx-port,A,yes,no,20,normalized_work_per_second,10,17.172394,17.374870,17.488347,17.733793,18.171774,0.142079,0.812419,5.714551,no
