rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,11200001,41,1,2,candidate,"NULL_REG(r1) | NULL_REG(r2)","r1=R17;r2=R18","benchmark_rexxcps_levelb_noopt",4
2,4160000,12,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1)","r1=R60;r2=R76;r3=R78","benchmark_rexxcps_levelb_noopt",610
3,4120000,14,1,2,candidate,"LOAD_REG_INT(r1,c1) | ITOS_REG(r1)","r1=R83;c1=int:1234","benchmark_rexxcps_levelb_noopt",616
4,3640200,14,2,4,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R70;r2=R40;r3=R71;r4=R45","benchmark_rexxcps_levelb_noopt",1177
5,2800428,13,5,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R12;c1=int:100;r2=R3","benchmark_rexxcps_levelb_noopt",23
6,2500000,7,1,4,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | STEMGET_REG_REG_REG(r2,r4,r1)","r1=R82;r2=R79;r3=R60;r4=R0","benchmark_rexxcps_levelb_noopt",656
7,2500000,6,1,2,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1)","r1=R81;r2=R17","benchmark_rexxcps_levelb_noopt",726
8,2240000,5,1,4,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | ITOS_REG(r3)","r1=R78;r2=R59;c1=string@38320;r3=R60","benchmark_rexxcps_levelb_noopt",606
9,1964949,26,3,4,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R35;r2=R34;c1=string@27168;c2=label@481","benchmark_rexxcps_levelb_noopt",471
10,1700418,18,4,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R33;c1=int:1;r2=R31;c2=int:2","benchmark_rexxcps_levelb_noopt",184
11,1680500,10,1,6,candidate,"LOAD_REG_INT(r1,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r2,c2,r1,r3,c3)","r1=R30;c1=int:1;r2=R29;c2=func@21856;r3=R31;c3=int:768","benchmark_rexxcps_levelb_noopt",364
12,1660006,10,1,2,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1)","r1=R7;r2=R33","benchmark_rexxcps_levelb_noopt",306
13,1660000,4,1,3,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1)","r1=R78;r2=R0;r3=R81","benchmark_rexxcps_levelb_noopt",708
14,1401286,16,7,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R3;c1=int:100;r2=R11;c2=string@3232","benchmark_rexxcps_levelb_noopt",26
15,1400644,14,5,4,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R23;r2=R40;r3=R5;r4=R33","_typedformat",372
16,1400419,6,6,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4)","c1=int:18;c2=int:1;c3=label@14;r1=R8;c4=int:256","pos",0
17,1400006,11,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1)","r1=R33;c1=string@17904;r2=R7","benchmark_rexxcps_levelb_noopt",303
18,1400003,6,1,4,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R31;c1=int:2;r2=R24;c2=int:256","benchmark_rexxcps_levelb_noopt",187
19,1400000,5,1,5,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1)","r1=R41;r2=R46;r3=R50;r4=R55;r5=R61","benchmark_rexxcps_levelb_noopt",1277
20,1400000,5,1,5,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1)","r1=R55;r2=R69;r3=R41;r4=R46;r5=R50","benchmark_rexxcps_levelb_noopt",1274
21,1360000,5,1,4,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2)","r1=R76;c1=string@38320;r2=R74;c2=int:2","benchmark_rexxcps_levelb_noopt",976
22,1124240,29,6,4,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R33;r2=R12;c1=int:1;c2=label@168","benchmark_rexxcps_levelb_noopt",149
23,1120610,9,5,3,candidate,"LOAD_REG_INT(r1,c1) | BRF_ID_REG(c2,r1)","r1=R90;c1=int:1;c2=label@1050","benchmark_rexxcps_levelb_noopt",1041
24,1120000,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | STRUPPER_REG_REG(r1,r2)","c1=int:18;c2=int:1;r1=R0;r2=R3","upper",0
25,1120000,1,1,2,candidate,"STRUPPER_REG_REG(r1,r2) | RET_REG(r1)","r1=R0;r2=R3","upper",4
26,1100000,3,1,3,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1)","r1=R80;r2=R0;r3=R79","benchmark_rexxcps_levelb_noopt",873
27,1080000,4,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_STRING(r1,r1,c1)","r1=R76;c1=string@38320","benchmark_rexxcps_levelb_noopt",974
28,882157,25,6,4,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R19;c1=string@1760;r2=R12;c2=int:100","benchmark_rexxcps_levelb_noopt",20
29,843203,21,3,4,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R65;r2=R50;r3=R69;c1=string@60776","benchmark_rexxcps_levelb_noopt",1288
30,841782,13,5,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R20;r2=R19;c1=int:0;c2=label@4354","trace",4342
31,840869,12,6,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R19;r2=R15;c1=label@1743","benchmark_rexxcps_levelb_noopt",1790
32,840434,5,4,3,candidate,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2)","r1=R1;c1=string@329248;c2=int:0","left",20
33,840410,9,3,4,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R47;r2=R33;c1=int:0;c2=label@379","_typedformat",362
34,840402,5,4,4,candidate,"STRLEN_REG_REG(r1,r2) | BEQ_ID_REG_INT(c1,r1,c2)","r1=R4;r2=R1;c1=label@74;c2=int:1","left",64
35,840233,7,3,3,candidate,"NOT_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)","r1=R45;r2=R64;c1=label@138","_typedformat",119
36,840218,4,4,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3)","c1=label@28;r1=R15;c2=int:256;r2=R1;c3=string@329248","left",16
37,840218,4,4,3,candidate,"SETTP_REG_INT(r1,c1) | BR_ID(c2)","r1=R1;c1=int:0;c2=label@43","left",23
38,840201,4,2,7,candidate,"SETTP_REG_INT(r1,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r2,c2,r3,r4,c3)","r1=R31;c1=int:512;r2=R33;c2=func@6184;r3=R28;r4=R32;c3=int:0","benchmark_rexxcps_levelb_noopt",104
39,840200,2,2,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1)","r1=R26;r2=R24;c1=int:1;r3=R16;r4=R28","trace",13547
40,840200,2,2,5,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R28;r2=R27;r3=R26;r4=R24;c1=int:1","trace",13544
41,840020,22,2,4,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R79;c1=int:768;r2=R81;c2=int:256","benchmark_rexxcps_levelb_noopt",634
42,840002,2,2,5,candidate,"BRF_ID_REG(c1,r1) | ILT_REG_REG_INT(r2,r3,c2)","c1=label@70;r1=R66;r2=R45;r3=R2;c2=int:0","_typedformat",59
43,840002,2,2,5,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R45;r2=R2;c1=int:0;c2=label@76;c3=label@79","_typedformat",62
44,840001,2,2,5,candidate,"LOAD_REG_STRING(r1,c1) | BGE_ID_REG_INT(c2,r2,c3)","r1=R7;c1=string@28856;c2=label@64;r2=R14;c3=int:0","left",54
45,840000,1,1,5,candidate,"BLE_ID_REG_INT(c1,r1,c2) | IEQ_REG_REG_INT(r2,r3,c2)","c1=label@206;r1=R1;c2=int:0;r2=R14;r3=R11","substr",165
46,840000,1,1,4,candidate,"BRT_ID_REG(c1,r1) | DGT_REG_REG_REG(r1,r2,r3)","c1=label@691;r1=R82;r2=R17;r3=R10","benchmark_rexxcps_levelb_noopt",680
47,840000,3,1,5,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1)","r1=R76;r2=R78;r3=R60;r4=R83;c1=int:1234","benchmark_rexxcps_levelb_noopt",612
48,840000,1,1,5,candidate,"DGT_REG_REG_REG(r1,r2,r3) | BRTF_ID_ID_REG(c1,c2,r1)","r1=R82;r2=R17;r3=R10;c1=label@896;c2=label@698","benchmark_rexxcps_levelb_noopt",683
49,840000,1,1,4,candidate,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R82;r2=R8;c1=decimal@40832;c2=label@691","benchmark_rexxcps_levelb_noopt",676
50,840000,1,1,5,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R3;r2=R20;c1=int:256;r3=R6;c2=int:0","substr",57
51,840000,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | BGE_ID_REG_REG(c1,r3,r2)","r1=R1;r2=R20;c1=label@165;r3=R0","substr",155
52,840000,1,1,5,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | BGE_ID_REG_INT(c1,r1,c2)","r1=R0;r2=R13;r3=R11;c1=label@122;c2=int:0","substr",111
