sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-RexxCPS-rexxcps-s0-rxvm-warmup-1,timing,RexxCPS,rexxcps-s0-rxvm,crexx-s0,rxvm,retained-s0,A,no,no,warmup,1,1,1000-clauses,1319644000,,0,pass,46139763,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxvm-warmup-1,timing,RexxCPS,rexxcps-b5-rxvm,crexx-b5,rxvm,production-h1,A,no,no,warmup,1,2,1000-clauses,1281384000,,0,pass,47727366,cREXX clauses per second
timing-RexxCPS-rexxcps-s0-rxbvm-warmup-1,timing,RexxCPS,rexxcps-s0-rxbvm,crexx-s0,rxbvm,retained-s0,A,no,no,warmup,1,3,1000-clauses,1338643000,,0,pass,45504725,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxbvm-warmup-1,timing,RexxCPS,rexxcps-b5-rxbvm,crexx-b5,rxbvm,production-h1,A,no,no,warmup,1,4,1000-clauses,1273766000,,0,pass,48106666,cREXX clauses per second
timing-RexxCPS-rexxcps-s0-rxvm-recorded-1,timing,RexxCPS,rexxcps-s0-rxvm,crexx-s0,rxvm,retained-s0,A,no,no,recorded,1,1,1000-clauses,1319873000,,0,pass,46269177,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxvm-recorded-1,timing,RexxCPS,rexxcps-b5-rxvm,crexx-b5,rxvm,production-h1,A,no,no,recorded,1,2,1000-clauses,1286169000,,0,pass,47471434,cREXX clauses per second
timing-RexxCPS-rexxcps-s0-rxbvm-recorded-1,timing,RexxCPS,rexxcps-s0-rxbvm,crexx-s0,rxbvm,retained-s0,A,no,no,recorded,1,3,1000-clauses,1334148000,,0,pass,45757627,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxbvm-recorded-1,timing,RexxCPS,rexxcps-b5-rxbvm,crexx-b5,rxbvm,production-h1,A,no,no,recorded,1,4,1000-clauses,1291821000,,0,pass,47331139,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxvm-recorded-2,timing,RexxCPS,rexxcps-b5-rxvm,crexx-b5,rxvm,production-h1,A,no,no,recorded,2,1,1000-clauses,1298657000,,0,pass,47020632,cREXX clauses per second
timing-RexxCPS-rexxcps-s0-rxbvm-recorded-2,timing,RexxCPS,rexxcps-s0-rxbvm,crexx-s0,rxbvm,retained-s0,A,no,no,recorded,2,2,1000-clauses,1340568000,,0,pass,45533982,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxbvm-recorded-2,timing,RexxCPS,rexxcps-b5-rxbvm,crexx-b5,rxbvm,production-h1,A,no,no,recorded,2,3,1000-clauses,1371004000,,0,pass,44165164,cREXX clauses per second
timing-RexxCPS-rexxcps-s0-rxvm-recorded-2,timing,RexxCPS,rexxcps-s0-rxvm,crexx-s0,rxvm,retained-s0,A,no,no,recorded,2,4,1000-clauses,1314443000,,0,pass,46416937,cREXX clauses per second
timing-RexxCPS-rexxcps-s0-rxbvm-recorded-3,timing,RexxCPS,rexxcps-s0-rxbvm,crexx-s0,rxbvm,retained-s0,A,no,no,recorded,3,1,1000-clauses,1339503000,,0,pass,45655596,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxbvm-recorded-3,timing,RexxCPS,rexxcps-b5-rxbvm,crexx-b5,rxbvm,production-h1,A,no,no,recorded,3,2,1000-clauses,1290545000,,0,pass,47302437,cREXX clauses per second
timing-RexxCPS-rexxcps-s0-rxvm-recorded-3,timing,RexxCPS,rexxcps-s0-rxvm,crexx-s0,rxvm,retained-s0,A,no,no,recorded,3,3,1000-clauses,1345168000,,0,pass,45336629,cREXX clauses per second
timing-RexxCPS-rexxcps-b5-rxvm-recorded-3,timing,RexxCPS,rexxcps-b5-rxvm,crexx-b5,rxvm,production-h1,A,no,no,recorded,3,4,1000-clauses,1307080000,,0,pass,46642052,cREXX clauses per second
