cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxvm-harness-control,Sieve-rxvm,crexx,rxvm,F1A1-control,A,no,no,5500,elapsed_ns,12,1171660000.000000,1173407750.000000,1176304500.000000,1180321250.000000,1193441000.000000,3404500.000000,0.289423,1.851646,no
sieve-rxvm-selective-compiler,Sieve-rxvm,crexx,rxvm,F1S-selective,A,no,no,5500,elapsed_ns,12,1102325000.000000,1102952500.000000,1105078000.000000,1110138750.000000,1205589000.000000,2139000.000000,0.193561,9.344499,no
sieve-rxbvm-harness-control,Sieve-rxbvm,crexx,rxbvm,F1A1-control,A,no,no,5500,elapsed_ns,12,1141244000.000000,1144047000.000000,1148460500.000000,1152382500.000000,1199894000.000000,4756500.000000,0.414163,5.106836,no
sieve-rxbvm-selective-compiler,Sieve-rxbvm,crexx,rxbvm,F1S-selective,A,no,no,5500,elapsed_ns,12,1145908000.000000,1147944500.000000,1148859000.000000,1149653000.000000,1152224000.000000,924500.000000,0.080471,0.549763,no
permute-rxvm-harness-control,Permute-rxvm,crexx,rxvm,F1A1-control,A,no,no,5000,elapsed_ns,12,2474942000.000000,2490623000.000000,2518946500.000000,2529381750.000000,2547305000.000000,24588500.000000,0.976142,2.872749,no
permute-rxvm-selective-compiler,Permute-rxvm,crexx,rxvm,F1S-selective,A,no,no,5000,elapsed_ns,12,1915535000.000000,1932585750.000000,1942086500.000000,1955340250.000000,1989236000.000000,11142000.000000,0.573713,3.794939,no
permute-rxbvm-harness-control,Permute-rxbvm,crexx,rxbvm,F1A1-control,A,no,no,5000,elapsed_ns,12,1876458000.000000,1879547000.000000,1883491000.000000,1888449500.000000,1892086000.000000,4840000.000000,0.256970,0.829736,no
permute-rxbvm-selective-compiler,Permute-rxbvm,crexx,rxbvm,F1S-selective,A,no,no,5000,elapsed_ns,12,1881636000.000000,1891880500.000000,1894067000.000000,1905453000.000000,1927097000.000000,2728500.000000,0.144055,2.400179,no
bounce-rxvm-harness-control,Bounce-rxvm,crexx,rxvm,F1A1-control,A,no,no,4200,elapsed_ns,12,1177227000.000000,1191428500.000000,1193664000.000000,1199938500.000000,1211585000.000000,5709000.000000,0.478275,2.878364,no
bounce-rxvm-selective-compiler,Bounce-rxvm,crexx,rxvm,F1S-selective,A,no,no,4200,elapsed_ns,12,1080579000.000000,1085691500.000000,1092846500.000000,1095500500.000000,1110366000.000000,4847500.000000,0.443566,2.725634,no
bounce-rxbvm-harness-control,Bounce-rxbvm,crexx,rxbvm,F1A1-control,A,no,no,4200,elapsed_ns,12,1062474000.000000,1069051250.000000,1071336500.000000,1081589000.000000,1087549000.000000,7126500.000000,0.665197,2.340534,no
bounce-rxbvm-selective-compiler,Bounce-rxbvm,crexx,rxbvm,F1S-selective,A,no,no,4200,elapsed_ns,12,1080452000.000000,1089960500.000000,1093382500.000000,1101929500.000000,1206243000.000000,5994500.000000,0.548253,11.504757,yes
richards-rxvm-harness-control,Richards-rxvm,crexx,rxvm,F1A1-control,A,no,no,20,elapsed_ns,12,2988360000.000000,3003157750.000000,3007198500.000000,3012308000.000000,3032488000.000000,5440500.000000,0.180916,1.467412,no
richards-rxvm-selective-compiler,Richards-rxvm,crexx,rxvm,F1S-selective,A,no,no,20,elapsed_ns,12,3151308000.000000,3156215750.000000,3161651000.000000,3167892000.000000,3177328000.000000,6791000.000000,0.214793,0.822988,no
richards-rxbvm-harness-control,Richards-rxbvm,crexx,rxbvm,F1A1-control,A,no,no,20,elapsed_ns,12,2953058000.000000,2959903000.000000,2966754000.000000,2969564000.000000,2995994000.000000,7091000.000000,0.239015,1.447238,no
richards-rxbvm-selective-compiler,Richards-rxbvm,crexx,rxbvm,F1S-selective,A,no,no,20,elapsed_ns,12,3184845000.000000,3189264750.000000,3193914000.000000,3200406500.000000,3217743000.000000,5409000.000000,0.169353,1.030021,no
base64-rxvm-harness-control,Base64-rxvm,crexx,rxvm,F1A1-control,A,no,no,2500,elapsed_ns,12,1260869000.000000,1295450250.000000,1349170500.000000,1435403250.000000,1567952000.000000,71949500.000000,5.332869,22.760874,yes
base64-rxvm-selective-compiler,Base64-rxvm,crexx,rxvm,F1S-selective,A,no,no,2500,elapsed_ns,12,1237758000.000000,1302820250.000000,1333681500.000000,1419339000.000000,1531200000.000000,51258500.000000,3.843384,22.002405,yes
base64-rxbvm-harness-control,Base64-rxbvm,crexx,rxbvm,F1A1-control,A,no,no,2500,elapsed_ns,12,1208284000.000000,1274656500.000000,1347433500.000000,1382846250.000000,1419053000.000000,58732000.000000,4.358805,15.642256,yes
base64-rxbvm-selective-compiler,Base64-rxbvm,crexx,rxbvm,F1S-selective,A,no,no,2500,elapsed_ns,12,1357928000.000000,1473838000.000000,1552592000.000000,1668707500.000000,1764566000.000000,100458000.000000,6.470341,26.190912,yes
