record,dimension,origin_mask,shape_mask,bucket_upper,count,total,max_or_peak,notes
summary,schema_version,,,0,1,1,1,value census sidecar schema 1
summary,unique_value_addresses,,,0,1627,1627,1627,vm=rxbvm result=0 sizeof_value=240 slab_size=65536 max_standard=16384 tracking=complete
summary,inline_string_only,,,0,25,,,ever used string with maximum capacity <= 32
summary,compound_storage_ever,,,0,4,,,more than one string/decimal/binary/reference/object/native storage facet
retained,current_string_dead_bytes,,,0,,0,,capacity minus current length
retained,current_decimal_dead_bytes,,,0,,0,,capacity minus current length
retained,current_binary_dead_bytes,,,0,,0,,capacity minus current length
retained,current_attribute_dead_slots,,,0,,0,,capacity minus active count
peak,current_string_length,,,0,,2492,,peak simultaneous total during execution
peak,current_string_capacity,,,0,,4448,,peak simultaneous total during execution
peak,current_decimal_length,,,0,,0,,peak simultaneous total during execution
peak,current_decimal_capacity,,,0,,0,,peak simultaneous total during execution
peak,current_binary_length,,,0,,1845,,peak simultaneous total during execution
peak,current_binary_capacity,,,0,,3296,,peak simultaneous total during execution
peak,current_attributes,,,0,,18,,peak simultaneous total during execution
peak,current_attribute_capacity,,,0,,88,,peak simultaneous total during execution
peak,string_dead_bytes,,,0,,1956,,peak simultaneous capacity minus used
peak,decimal_dead_bytes,,,0,,0,,peak simultaneous capacity minus used
peak,binary_dead_bytes,,,0,,1471,,peak simultaneous capacity minus used
peak,attribute_dead_slots,,,0,,86,,peak simultaneous capacity minus active count
reuse,string_events,,,0,0,0,0,distance is intervening value-census observations; average=0
reclaimable_peak,string_capacity,,,0,,0,,peak simultaneous inactive sticky capacity; bytes except attribute slots
release_without_reuse,string_events,,,0,0,0,,final inactive episode released without another reuse; capacity is bytes except attribute slots
reuse,decimal_events,,,0,0,0,0,distance is intervening value-census observations; average=0
reclaimable_peak,decimal_capacity,,,0,,0,,peak simultaneous inactive sticky capacity; bytes except attribute slots
release_without_reuse,decimal_events,,,0,0,0,,final inactive episode released without another reuse; capacity is bytes except attribute slots
reuse,binary_events,,,0,4999,4721737,3625,distance is intervening value-census observations; average=944
reclaimable_peak,binary_capacity,,,0,,96,,peak simultaneous inactive sticky capacity; bytes except attribute slots
release_without_reuse,binary_events,,,0,9999,319968,,final inactive episode released without another reuse; capacity is bytes except attribute slots
reuse_histogram,binary_distance_events,,,1024,4998,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
reuse_histogram,binary_distance_events,,,4096,1,,,power-of-two inclusive upper bound; UINT64_MAX is overflow bucket
reuse_capacity_histogram,binary_capacity,,,32,4999,,,power-of-two inclusive upper bound; bytes except attribute slots
