sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
rss-Sieve-sieve-s0-recorded-1,rss,Sieve,sieve-s0,S0,rxvm,v0-r0-64-16,A,yes,startup-included,recorded,1,1,5500,1082794000,18399232,0,pass,,
rss-Sieve-sieve-s1-recorded-1,rss,Sieve,sieve-s1,S1,rxvm,v0-r0-64-8,A,yes,startup-included,recorded,1,2,5500,1091444000,18710528,0,pass,,
rss-Sieve-sieve-s1b-recorded-1,rss,Sieve,sieve-s1b,S1b,rxvm,v0-r0-128-16,A,yes,startup-included,recorded,1,3,5500,1089327000,18087936,0,pass,,
rss-Sieve-sieve-s2-recorded-1,rss,Sieve,sieve-s2,S2,rxvm,v0-r0-256-32,A,yes,startup-included,recorded,1,4,5500,1095641000,19382272,0,pass,,
rss-Sieve-sieve-s2-recorded-2,rss,Sieve,sieve-s2,S2,rxvm,v0-r0-256-32,A,yes,startup-included,recorded,2,1,5500,1094303000,19398656,0,pass,,
rss-Sieve-sieve-s1b-recorded-2,rss,Sieve,sieve-s1b,S1b,rxvm,v0-r0-128-16,A,yes,startup-included,recorded,2,2,5500,1091396000,18153472,0,pass,,
rss-Sieve-sieve-s1-recorded-2,rss,Sieve,sieve-s1,S1,rxvm,v0-r0-64-8,A,yes,startup-included,recorded,2,3,5500,1084571000,18694144,0,pass,,
rss-Sieve-sieve-s0-recorded-2,rss,Sieve,sieve-s0,S0,rxvm,v0-r0-64-16,A,yes,startup-included,recorded,2,4,5500,1098238000,18399232,0,pass,,
rss-Sieve-sieve-s1b-recorded-3,rss,Sieve,sieve-s1b,S1b,rxvm,v0-r0-128-16,A,yes,startup-included,recorded,3,1,5500,1093965000,18104320,0,pass,,
rss-Sieve-sieve-s2-recorded-3,rss,Sieve,sieve-s2,S2,rxvm,v0-r0-256-32,A,yes,startup-included,recorded,3,2,5500,1097288000,19398656,0,pass,,
rss-Sieve-sieve-s0-recorded-3,rss,Sieve,sieve-s0,S0,rxvm,v0-r0-64-16,A,yes,startup-included,recorded,3,3,5500,1089225000,18448384,0,pass,,
rss-Sieve-sieve-s1-recorded-3,rss,Sieve,sieve-s1,S1,rxvm,v0-r0-64-8,A,yes,startup-included,recorded,3,4,5500,1096340000,18694144,0,pass,,
rss-Sieve-sieve-s1-recorded-4,rss,Sieve,sieve-s1,S1,rxvm,v0-r0-64-8,A,yes,startup-included,recorded,4,1,5500,1089787000,18743296,0,pass,,
rss-Sieve-sieve-s0-recorded-4,rss,Sieve,sieve-s0,S0,rxvm,v0-r0-64-16,A,yes,startup-included,recorded,4,2,5500,1081595000,18464768,0,pass,,
rss-Sieve-sieve-s2-recorded-4,rss,Sieve,sieve-s2,S2,rxvm,v0-r0-256-32,A,yes,startup-included,recorded,4,3,5500,1093859000,19382272,0,pass,,
rss-Sieve-sieve-s1b-recorded-4,rss,Sieve,sieve-s1b,S1b,rxvm,v0-r0-128-16,A,yes,startup-included,recorded,4,4,5500,1082609000,18120704,0,pass,,
rss-Permute-permute-s0-recorded-1,rss,Permute,permute-s0,S0,rxvm,v0-r0-64-16,A,yes,startup-included,recorded,1,1,5000,1764811000,18579456,0,pass,,
rss-Permute-permute-s1-recorded-1,rss,Permute,permute-s1,S1,rxvm,v0-r0-64-8,A,yes,startup-included,recorded,1,2,5000,1745838000,18579456,0,pass,,
