sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Sieve-sieve-control-warmup-1,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,warmup,1,1,5500,1020539000,,0,pass,,
timing-Sieve-sieve-candidate-warmup-1,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,warmup,1,2,5500,1348226000,,0,pass,,
timing-Sieve-sieve-control-recorded-1,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,1,1,5500,1030227000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-1,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,1,2,5500,1011043000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-2,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,2,1,5500,1021437000,,0,pass,,
timing-Sieve-sieve-control-recorded-2,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,2,2,5500,1035593000,,0,pass,,
timing-Sieve-sieve-control-recorded-3,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,3,1,5500,1042491000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-3,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,3,2,5500,1019129000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-4,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,4,1,5500,1031303000,,0,pass,,
timing-Sieve-sieve-control-recorded-4,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,4,2,5500,1035757000,,0,pass,,
timing-Sieve-sieve-control-recorded-5,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,5,1,5500,1034451000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-5,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,5,2,5500,1027514000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-6,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,6,1,5500,1051266000,,0,pass,,
timing-Sieve-sieve-control-recorded-6,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,6,2,5500,1028431000,,0,pass,,
timing-Sieve-sieve-control-recorded-7,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,7,1,5500,1031561000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-7,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,7,2,5500,1029784000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-8,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,8,1,5500,1031483000,,0,pass,,
timing-Sieve-sieve-control-recorded-8,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,8,2,5500,1040473000,,0,pass,,
timing-Sieve-sieve-control-recorded-9,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,9,1,5500,1036472000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-9,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,9,2,5500,1049548000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-10,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,10,1,5500,1027750000,,0,pass,,
timing-Sieve-sieve-control-recorded-10,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,10,2,5500,1049267000,,0,pass,,
timing-Sieve-sieve-control-recorded-11,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,11,1,5500,1039884000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-11,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,11,2,5500,1027381000,,0,pass,,
timing-Sieve-sieve-candidate-recorded-12,timing,Sieve,sieve-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,12,1,5500,1050593000,,0,pass,,
timing-Sieve-sieve-control-recorded-12,timing,Sieve,sieve-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,12,2,5500,1037718000,,0,pass,,
timing-Richards-richards-control-warmup-1,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,warmup,1,1,20,2115794000,,0,pass,,
timing-Richards-richards-candidate-warmup-1,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,warmup,1,2,20,2126140000,,0,pass,,
timing-Richards-richards-control-recorded-1,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,1,1,20,2088435000,,0,pass,,
timing-Richards-richards-candidate-recorded-1,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,1,2,20,2099952000,,0,pass,,
timing-Richards-richards-candidate-recorded-2,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,2,1,20,2262301000,,0,pass,,
timing-Richards-richards-control-recorded-2,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,2,2,20,2089153000,,0,pass,,
timing-Richards-richards-control-recorded-3,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,3,1,20,2110642000,,0,pass,,
timing-Richards-richards-candidate-recorded-3,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,3,2,20,2102930000,,0,pass,,
timing-Richards-richards-candidate-recorded-4,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,4,1,20,2105319000,,0,pass,,
timing-Richards-richards-control-recorded-4,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,4,2,20,2064542000,,0,pass,,
timing-Richards-richards-control-recorded-5,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,5,1,20,2095838000,,0,pass,,
timing-Richards-richards-candidate-recorded-5,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,5,2,20,2121168000,,0,pass,,
timing-Richards-richards-candidate-recorded-6,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,6,1,20,2158006000,,0,pass,,
timing-Richards-richards-control-recorded-6,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,6,2,20,2062551000,,0,pass,,
timing-Richards-richards-control-recorded-7,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,7,1,20,2066424000,,0,pass,,
timing-Richards-richards-candidate-recorded-7,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,7,2,20,2077087000,,0,pass,,
timing-Richards-richards-candidate-recorded-8,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,8,1,20,2066287000,,0,pass,,
timing-Richards-richards-control-recorded-8,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,8,2,20,2087936000,,0,pass,,
timing-Richards-richards-control-recorded-9,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,9,1,20,2111854000,,0,pass,,
timing-Richards-richards-candidate-recorded-9,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,9,2,20,2081078000,,0,pass,,
timing-Richards-richards-candidate-recorded-10,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,10,1,20,2119699000,,0,pass,,
timing-Richards-richards-control-recorded-10,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,10,2,20,2150024000,,0,pass,,
timing-Richards-richards-control-recorded-11,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,11,1,20,2071553000,,0,pass,,
timing-Richards-richards-candidate-recorded-11,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,11,2,20,2081860000,,0,pass,,
timing-Richards-richards-candidate-recorded-12,timing,Richards,richards-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,12,1,20,2068507000,,0,pass,,
timing-Richards-richards-control-recorded-12,timing,Richards,richards-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,12,2,20,2120961000,,0,pass,,
timing-Towers-towers-control-warmup-1,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,warmup,1,1,100,2103684000,,0,pass,,
timing-Towers-towers-candidate-warmup-1,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,warmup,1,2,100,2043825000,,0,pass,,
timing-Towers-towers-control-recorded-1,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,1,1,100,2092310000,,0,pass,,
timing-Towers-towers-candidate-recorded-1,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,1,2,100,2024317000,,0,pass,,
timing-Towers-towers-candidate-recorded-2,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,2,1,100,2044070000,,0,pass,,
timing-Towers-towers-control-recorded-2,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,2,2,100,2106615000,,0,pass,,
timing-Towers-towers-control-recorded-3,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,3,1,100,2117902000,,0,pass,,
timing-Towers-towers-candidate-recorded-3,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,3,2,100,2049313000,,0,pass,,
timing-Towers-towers-candidate-recorded-4,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,4,1,100,2026854000,,0,pass,,
timing-Towers-towers-control-recorded-4,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,4,2,100,2097616000,,0,pass,,
timing-Towers-towers-control-recorded-5,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,5,1,100,2095469000,,0,pass,,
timing-Towers-towers-candidate-recorded-5,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,5,2,100,2041919000,,0,pass,,
timing-Towers-towers-candidate-recorded-6,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,6,1,100,2029556000,,0,pass,,
timing-Towers-towers-control-recorded-6,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,6,2,100,2099564000,,0,pass,,
timing-Towers-towers-control-recorded-7,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,7,1,100,2108662000,,0,pass,,
timing-Towers-towers-candidate-recorded-7,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,7,2,100,2038661000,,0,pass,,
timing-Towers-towers-candidate-recorded-8,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,8,1,100,2038878000,,0,pass,,
timing-Towers-towers-control-recorded-8,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,8,2,100,2110686000,,0,pass,,
timing-Towers-towers-control-recorded-9,timing,Towers,towers-control,L32S,rxbvm,value-192,A,yes,startup-included,recorded,9,1,100,2102321000,,0,pass,,
timing-Towers-towers-candidate-recorded-9,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,9,2,100,2064818000,,0,pass,,
timing-Towers-towers-candidate-recorded-10,timing,Towers,towers-candidate,L32SDH-industrial,rxbvm,value-176,A,yes,startup-included,recorded,10,1,100,2031461000,,0,pass,,
