comparison,compiler,engine,workload,candidate,baseline,ratio_higher_is_better,percent
r3_profile30_vs_r3_inline,clang,rxtvm,Sieve,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.0674799644863013,6.747996448630134
r3_profile30_vs_r3_inline,clang,rxtvm,Permute,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.1202927884737954,12.029278847379544
r3_profile30_vs_r3_inline,clang,rxtvm,Bounce,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.1103228588201406,11.032285882014058
r3_profile30_vs_r3_inline,clang,rxtvm,Richards,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.0285198308957777,2.85198308957777
r3_profile30_vs_r3_inline,clang,rxtvm,Base64,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.0507445891949516,5.074458919495162
r3_profile30_vs_r3_inline,clang,rxtvm,Towers,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,1.0062563335775998,0.6256333577599804
r3_profile30_vs_r3_inline,clang,rxtvm,RexxCPS,rxtvm-clang-r3-profile30,rxtvm-clang-r3-inline,0.9864684008342558,-1.3531599165744201
r3_inline_vs_r2_inline,clang,rxtvm,Sieve,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.9219549618165758,-7.804503818342424
r3_inline_vs_r2_inline,clang,rxtvm,Permute,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.8811344491876968,-11.886555081230322
r3_inline_vs_r2_inline,clang,rxtvm,Bounce,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.9079355110166969,-9.206448898330311
r3_inline_vs_r2_inline,clang,rxtvm,Richards,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.9804540721283931,-1.9545927871606916
r3_inline_vs_r2_inline,clang,rxtvm,Base64,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.9082411282544434,-9.175887174555664
r3_inline_vs_r2_inline,clang,rxtvm,Towers,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,0.9838870960299329,-1.611290397006715
r3_inline_vs_r2_inline,clang,rxtvm,RexxCPS,rxtvm-clang-r3-inline,rxtvm-clang-r2-inline,1.0273971457491557,2.739714574915575
r3_profile30_vs_r2_inline,clang,rxtvm,Sieve,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.9841684498979276,-1.5831550102072378
r3_profile30_vs_r2_inline,clang,rxtvm,Permute,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.9871285691008066,-1.2871430899193403
r3_profile30_vs_r2_inline,clang,rxtvm,Bounce,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,1.008101552216384,0.8101552216384089
r3_profile30_vs_r2_inline,clang,rxtvm,Richards,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,1.0084164564665714,0.8416456466571409
r3_profile30_vs_r2_inline,clang,rxtvm,Base64,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.9543294511976744,-4.567054880232558
r3_profile30_vs_r2_inline,clang,rxtvm,Towers,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,0.990042621905392,-0.9957378094607949
r3_profile30_vs_r2_inline,clang,rxtvm,RexxCPS,rxtvm-clang-r3-profile30,rxtvm-clang-r2-inline,1.0134948193888484,1.3494819388848445
r3_profile30_vs_r3_inline,clang,rxbvm,Sieve,rxbvm-clang-r3-profile30,rxbvm-clang-r3-inline,1.0154127226423317,1.5412722642331733
