sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Sieve-sieve-rxtvm-clang-r2-inline-warmup-1,timing,Sieve,sieve-rxtvm-clang-r2-inline,crexx,rxtvm-clang-r2-inline,clang-r2-inline,A,no,no,warmup,1,1,5500,1031378000,,0,pass,,
timing-Sieve-sieve-rxbvm-clang-r2-inline-warmup-1,timing,Sieve,sieve-rxbvm-clang-r2-inline,crexx,rxbvm-clang-r2-inline,clang-r2-inline,A,no,no,warmup,1,2,5500,1073133000,,0,pass,,
timing-Sieve-sieve-rxtvm-clang-r3-inline-warmup-1,timing,Sieve,sieve-rxtvm-clang-r3-inline,crexx,rxtvm-clang-r3-inline,clang-r3-inline,A,no,no,warmup,1,3,5500,1479219000,,0,pass,,
timing-Sieve-sieve-rxbvm-clang-r3-inline-warmup-1,timing,Sieve,sieve-rxbvm-clang-r3-inline,crexx,rxbvm-clang-r3-inline,clang-r3-inline,A,no,no,warmup,1,4,5500,1351901000,,0,pass,,
timing-Sieve-sieve-rxtvm-clang-r3-profile30-warmup-1,timing,Sieve,sieve-rxtvm-clang-r3-profile30,crexx,rxtvm-clang-r3-profile30,clang-r3-profile30,A,no,no,warmup,1,5,5500,1036280000,,0,pass,,
timing-Sieve-sieve-rxbvm-clang-r3-profile30-warmup-1,timing,Sieve,sieve-rxbvm-clang-r3-profile30,crexx,rxbvm-clang-r3-profile30,clang-r3-profile30,A,no,no,warmup,1,6,5500,1051041000,,0,pass,,
timing-Sieve-sieve-rxtvm-gcc-r2-inline-warmup-1,timing,Sieve,sieve-rxtvm-gcc-r2-inline,crexx,rxtvm-gcc-r2-inline,gcc-r2-inline,A,no,no,warmup,1,7,5500,1289342000,,0,pass,,
timing-Sieve-sieve-rxbvm-gcc-r2-inline-warmup-1,timing,Sieve,sieve-rxbvm-gcc-r2-inline,crexx,rxbvm-gcc-r2-inline,gcc-r2-inline,A,no,no,warmup,1,8,5500,1878169000,,0,pass,,
timing-Sieve-sieve-rxtvm-gcc-r3-inline-warmup-1,timing,Sieve,sieve-rxtvm-gcc-r3-inline,crexx,rxtvm-gcc-r3-inline,gcc-r3-inline,A,no,no,warmup,1,9,5500,1641008000,,0,pass,,
timing-Sieve-sieve-rxbvm-gcc-r3-inline-warmup-1,timing,Sieve,sieve-rxbvm-gcc-r3-inline,crexx,rxbvm-gcc-r3-inline,gcc-r3-inline,A,no,no,warmup,1,10,5500,2240595000,,0,pass,,
timing-Sieve-sieve-rxtvm-gcc-r3-profile30-warmup-1,timing,Sieve,sieve-rxtvm-gcc-r3-profile30,crexx,rxtvm-gcc-r3-profile30,gcc-r3-profile30,A,no,no,warmup,1,11,5500,1504877000,,0,pass,,
timing-Sieve-sieve-rxbvm-gcc-r3-profile30-warmup-1,timing,Sieve,sieve-rxbvm-gcc-r3-profile30,crexx,rxbvm-gcc-r3-profile30,gcc-r3-profile30,A,no,no,warmup,1,12,5500,1456720000,,0,pass,,
timing-Sieve-sieve-rxbvm-gcc-r3-profile30-warmup-2,timing,Sieve,sieve-rxbvm-gcc-r3-profile30,crexx,rxbvm-gcc-r3-profile30,gcc-r3-profile30,A,no,no,warmup,2,1,5500,1468519000,,0,pass,,
timing-Sieve-sieve-rxtvm-gcc-r3-profile30-warmup-2,timing,Sieve,sieve-rxtvm-gcc-r3-profile30,crexx,rxtvm-gcc-r3-profile30,gcc-r3-profile30,A,no,no,warmup,2,2,5500,1498278000,,0,pass,,
timing-Sieve-sieve-rxbvm-gcc-r3-inline-warmup-2,timing,Sieve,sieve-rxbvm-gcc-r3-inline,crexx,rxbvm-gcc-r3-inline,gcc-r3-inline,A,no,no,warmup,2,3,5500,1982657000,,0,pass,,
timing-Sieve-sieve-rxtvm-gcc-r3-inline-warmup-2,timing,Sieve,sieve-rxtvm-gcc-r3-inline,crexx,rxtvm-gcc-r3-inline,gcc-r3-inline,A,no,no,warmup,2,4,5500,1340849000,,0,pass,,
timing-Sieve-sieve-rxbvm-gcc-r2-inline-warmup-2,timing,Sieve,sieve-rxbvm-gcc-r2-inline,crexx,rxbvm-gcc-r2-inline,gcc-r2-inline,A,no,no,warmup,2,5,5500,1968947000,,0,pass,,
timing-Sieve-sieve-rxtvm-gcc-r2-inline-warmup-2,timing,Sieve,sieve-rxtvm-gcc-r2-inline,crexx,rxtvm-gcc-r2-inline,gcc-r2-inline,A,no,no,warmup,2,6,5500,1249563000,,0,pass,,
timing-Sieve-sieve-rxbvm-clang-r3-profile30-warmup-2,timing,Sieve,sieve-rxbvm-clang-r3-profile30,crexx,rxbvm-clang-r3-profile30,clang-r3-profile30,A,no,no,warmup,2,7,5500,1020992000,,0,pass,,
timing-Sieve-sieve-rxtvm-clang-r3-profile30-warmup-2,timing,Sieve,sieve-rxtvm-clang-r3-profile30,crexx,rxtvm-clang-r3-profile30,clang-r3-profile30,A,no,no,warmup,2,8,5500,1011702000,,0,pass,,
timing-Sieve-sieve-rxbvm-clang-r3-inline-warmup-2,timing,Sieve,sieve-rxbvm-clang-r3-inline,crexx,rxbvm-clang-r3-inline,clang-r3-inline,A,no,no,warmup,2,9,5500,1037532000,,0,pass,,
timing-Sieve-sieve-rxtvm-clang-r3-inline-warmup-2,timing,Sieve,sieve-rxtvm-clang-r3-inline,crexx,rxtvm-clang-r3-inline,clang-r3-inline,A,no,no,warmup,2,10,5500,1027704000,,0,pass,,
timing-Sieve-sieve-rxbvm-clang-r2-inline-warmup-2,timing,Sieve,sieve-rxbvm-clang-r2-inline,crexx,rxbvm-clang-r2-inline,clang-r2-inline,A,no,no,warmup,2,11,5500,1037542000,,0,pass,,
timing-Sieve-sieve-rxtvm-clang-r2-inline-warmup-2,timing,Sieve,sieve-rxtvm-clang-r2-inline,crexx,rxtvm-clang-r2-inline,clang-r2-inline,A,no,no,warmup,2,12,5500,1001746000,,0,pass,,
timing-Sieve-sieve-rxtvm-clang-r2-inline-recorded-1,timing,Sieve,sieve-rxtvm-clang-r2-inline,crexx,rxtvm-clang-r2-inline,clang-r2-inline,A,no,no,recorded,1,1,5500,994261000,,0,pass,,
