sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Sieve-sieve-rxbvm-control-warmup-1,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,warmup,1,1,5500,1371348000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-warmup-1,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,warmup,1,2,5500,1292284000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-warmup-1,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,warmup,1,3,5500,1228165000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-warmup-1,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,warmup,1,4,5500,1228528000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-1,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,1,1,5500,1008611000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-1,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,1,2,5500,1007001000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-recorded-1,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,recorded,1,3,5500,948142000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-recorded-1,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,recorded,1,4,5500,940848000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-recorded-2,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,recorded,2,1,5500,946448000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-recorded-2,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,recorded,2,2,5500,935212000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-2,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,2,3,5500,1005957000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-2,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,2,4,5500,1010138000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-recorded-3,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,recorded,3,1,5500,948333000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-recorded-3,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,recorded,3,2,5500,942211000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-3,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,3,3,5500,999851000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-3,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,3,4,5500,1009262000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-4,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,4,1,5500,1017283000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-4,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,4,2,5500,994958000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-recorded-4,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,recorded,4,3,5500,943284000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-recorded-4,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,recorded,4,4,5500,944514000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-5,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,5,1,5500,1007873000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-5,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,5,2,5500,1011509000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-recorded-5,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,recorded,5,3,5500,946074000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-recorded-5,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,recorded,5,4,5500,946893000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-recorded-6,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,recorded,6,1,5500,952009000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-recorded-6,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,recorded,6,2,5500,944395000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-6,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,6,3,5500,1012141000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-6,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,6,4,5500,1014225000,,0,pass,,
timing-Sieve-sieve-rxtvm-control-recorded-7,timing,Sieve,sieve-rxtvm-control,crexx,rxtvm,control-6d12cd921,A,no,startup-included,recorded,7,1,5500,948332000,,0,pass,,
timing-Sieve-sieve-rxtvm-candidate-recorded-7,timing,Sieve,sieve-rxtvm-candidate,crexx,rxtvm,e3a-context-providers,A,no,startup-included,recorded,7,2,5500,934959000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-7,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,7,3,5500,1015617000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-7,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,7,4,5500,1015822000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-8,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,e3a-context-providers,A,no,startup-included,recorded,8,1,5500,1004225000,,0,pass,,
timing-Sieve-sieve-rxbvm-control-recorded-8,timing,Sieve,sieve-rxbvm-control,crexx,rxbvm,control-6d12cd921,A,no,startup-included,recorded,8,2,5500,1015526000,,0,pass,,
