cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
rxpa-reentrant-rxbvm-control,RXPA-Reentrant,crexx,rxbvm,e3a-29ef1975e,A,no,startup-included,20000000-calls,elapsed_ns,12,1222085000.000000,1233722250.000000,1246430500.000000,1256772000.000000,1301447000.000000,11881500.000000,0.953242,6.367142,no
rxpa-reentrant-rxbvm-candidate,RXPA-Reentrant,crexx,rxbvm,e3b-p1-rework,A,no,startup-included,20000000-calls,elapsed_ns,12,1389178000.000000,1427411000.000000,1432817000.000000,1438771500.000000,1455186000.000000,6147500.000000,0.429050,4.606869,no
rxpa-reentrant-rxtvm-control,RXPA-Reentrant,crexx,rxtvm,e3a-29ef1975e,A,no,startup-included,20000000-calls,elapsed_ns,12,1218270000.000000,1227115000.000000,1231442500.000000,1239010250.000000,1266792000.000000,4506500.000000,0.365953,3.940257,no
rxpa-reentrant-rxtvm-candidate,RXPA-Reentrant,crexx,rxtvm,e3b-p1-rework,A,no,startup-included,20000000-calls,elapsed_ns,12,1374651000.000000,1389044250.000000,1405860500.000000,1431518250.000000,1535842000.000000,22498500.000000,1.600337,11.465647,yes
rxpa-legacy-rxbvm-control,RXPA-Legacy,crexx,rxbvm,e3a-29ef1975e,A,no,startup-included,20000000-calls,elapsed_ns,12,1212182000.000000,1227311000.000000,1232989000.000000,1247281000.000000,1278787000.000000,10929500.000000,0.886423,5.401914,no
rxpa-legacy-rxbvm-candidate,RXPA-Legacy,crexx,rxbvm,e3b-p1-rework,A,no,startup-included,20000000-calls,elapsed_ns,12,1380561000.000000,1396126750.000000,1418427000.000000,1432826750.000000,1468938000.000000,20303000.000000,1.431374,6.230634,no
rxpa-legacy-rxtvm-control,RXPA-Legacy,crexx,rxtvm,e3a-29ef1975e,A,no,startup-included,20000000-calls,elapsed_ns,12,1206075000.000000,1226685000.000000,1237356500.000000,1242443000.000000,1265128000.000000,7376000.000000,0.596110,4.772513,no
rxpa-legacy-rxtvm-candidate,RXPA-Legacy,crexx,rxtvm,e3b-p1-rework,A,no,startup-included,20000000-calls,elapsed_ns,12,1371624000.000000,1381023000.000000,1399562000.000000,1427962750.000000,1456691000.000000,24055000.000000,1.718752,6.078116,no
rxpa-reentrant-lifecycle-rxbvm-control,RXPA-Reentrant-Lifecycle,crexx,rxbvm,e3a-29ef1975e,A,no,startup-included,1-call,elapsed_ns,12,15075000.000000,15277750.000000,15351500.000000,15497250.000000,15562000.000000,109000.000000,0.710028,3.172328,no
rxpa-reentrant-lifecycle-rxbvm-candidate,RXPA-Reentrant-Lifecycle,crexx,rxbvm,e3b-p1-rework,A,no,startup-included,1-call,elapsed_ns,12,14972000.000000,15250250.000000,15389000.000000,15623500.000000,15699000.000000,189500.000000,1.231399,4.724154,no
rxpa-reentrant-lifecycle-rxtvm-control,RXPA-Reentrant-Lifecycle,crexx,rxtvm,e3a-29ef1975e,A,no,startup-included,1-call,elapsed_ns,12,15063000.000000,15217750.000000,15305500.000000,15471000.000000,15781000.000000,147500.000000,0.963706,4.691124,no
rxpa-reentrant-lifecycle-rxtvm-candidate,RXPA-Reentrant-Lifecycle,crexx,rxtvm,e3b-p1-rework,A,no,startup-included,1-call,elapsed_ns,12,15150000.000000,15297250.000000,15457000.000000,15525750.000000,15692000.000000,129500.000000,0.837808,3.506502,no
rxpa-legacy-lifecycle-rxbvm-control,RXPA-Legacy-Lifecycle,crexx,rxbvm,e3a-29ef1975e,A,no,startup-included,1-call,elapsed_ns,12,15110000.000000,15246500.000000,15311000.000000,15457250.000000,15738000.000000,99000.000000,0.646594,4.101626,no
