cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxbvm-e4,Sieve,crexx,rxbvm,e4-control,A,no,startup-included,5500,elapsed_ns,12,4184828000.000000,8438412500.000000,8907501000.000000,9554186500.000000,12429131000.000000,542975000.000000,6.095705,92.554612,yes
sieve-rxbvm-poc,Sieve,crexx,rxbvm,linux-doorbell-poc,A,no,startup-included,5500,elapsed_ns,12,5447548000.000000,8007611000.000000,8471703000.000000,8980405250.000000,10703680000.000000,670949500.000000,7.919889,62.043393,yes
sieve-rxtvm-e4,Sieve,crexx,rxtvm,e4-control,A,no,startup-included,5500,elapsed_ns,12,3572692000.000000,7148811250.000000,8083379000.000000,8310551750.000000,10987583000.000000,624110000.000000,7.720905,91.730092,yes
sieve-rxtvm-poc,Sieve,crexx,rxtvm,linux-doorbell-poc,A,no,startup-included,5500,elapsed_ns,12,5382175000.000000,7739638000.000000,8407895500.000000,8553970750.000000,16370239000.000000,403124000.000000,4.794589,130.687447,yes
permute-rxtvm-e4,Permute,crexx,rxtvm,e4-control,A,no,startup-included,5000,elapsed_ns,12,13714394000.000000,16078148750.000000,17674283500.000000,18557232500.000000,27221892000.000000,1297343000.000000,7.340286,76.424586,yes
permute-rxtvm-poc,Permute,crexx,rxtvm,linux-doorbell-poc,A,no,startup-included,5000,elapsed_ns,12,16484453000.000000,16569291750.000000,17809811500.000000,18625017000.000000,20366803000.000000,1150817000.000000,6.461702,21.798939,yes
rexxcps-rxbvm-e4,RexxCPS,crexx,rxbvm,e4-control,A,no,startup-included,1000-clauses,benchmark_rate,12,2895926.000000,3789075.750000,4133285.000000,4276841.500000,4564709.000000,159751.000000,3.864989,40.374254,yes
rexxcps-rxbvm-poc,RexxCPS,crexx,rxbvm,linux-doorbell-poc,A,no,startup-included,1000-clauses,benchmark_rate,12,2767351.000000,3983491.750000,4137183.500000,4232763.500000,4401209.000000,116102.000000,2.806305,39.492036,yes
rexxcps-rxtvm-e4,RexxCPS,crexx,rxtvm,e4-control,A,no,startup-included,1000-clauses,benchmark_rate,12,2905688.000000,3395115.000000,3927608.500000,4197576.250000,4306421.000000,335845.500000,8.550890,35.663763,yes
rexxcps-rxtvm-poc,RexxCPS,crexx,rxtvm,linux-doorbell-poc,A,no,startup-included,1000-clauses,benchmark_rate,12,2204132.000000,3764368.750000,4053559.500000,4255384.500000,4397632.000000,295387.500000,7.287114,54.112935,yes
