cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxbvm-e4,Sieve,crexx,rxbvm,e4-control,A,no,startup-included,5500,elapsed_ns,12,989943000.000000,994413000.000000,995985500.000000,996412000.000000,999449000.000000,931500.000000,0.093525,0.954432,no
sieve-rxbvm-poc,Sieve,crexx,rxbvm,macos-doorbell-poc,A,no,startup-included,5500,elapsed_ns,12,998723000.000000,1003158750.000000,1007159000.000000,1008278250.000000,1013654000.000000,2206500.000000,0.219082,1.482487,no
sieve-rxtvm-e4,Sieve,crexx,rxtvm,e4-control,A,no,startup-included,5500,elapsed_ns,12,927254000.000000,942749750.000000,952712000.000000,963483000.000000,1007957000.000000,10681500.000000,1.121168,8.470871,no
sieve-rxtvm-poc,Sieve,crexx,rxtvm,macos-doorbell-poc,A,no,startup-included,5500,elapsed_ns,12,926492000.000000,931853750.000000,942734000.000000,966209750.000000,971140000.000000,13975000.000000,1.482391,4.736012,no
permute-rxbvm-e4,Permute,crexx,rxbvm,e4-control,A,no,startup-included,5000,elapsed_ns,12,1716448000.000000,1724043500.000000,1736205500.000000,1752288500.000000,1789407000.000000,15328500.000000,0.882874,4.202210,no
permute-rxbvm-poc,Permute,crexx,rxbvm,macos-doorbell-poc,A,no,startup-included,5000,elapsed_ns,12,1677171000.000000,1692933000.000000,1698936500.000000,1704387500.000000,1748882000.000000,6651500.000000,0.391510,4.220935,no
permute-rxtvm-e4,Permute,crexx,rxtvm,e4-control,A,no,startup-included,5000,elapsed_ns,12,1542358000.000000,1581741750.000000,1590860000.000000,1620869000.000000,1632438000.000000,16848500.000000,1.059081,5.662346,no
permute-rxtvm-poc,Permute,crexx,rxtvm,macos-doorbell-poc,A,no,startup-included,5000,elapsed_ns,12,1566134000.000000,1580058000.000000,1597908500.000000,1609186500.000000,1614635000.000000,15692000.000000,0.982034,3.035280,no
rexxcps-rxbvm-e4,RexxCPS,crexx,rxbvm,e4-control,A,no,startup-included,1000-clauses,benchmark_rate,12,45160795.000000,45445332.750000,45787825.500000,46034041.000000,46256336.000000,283615.500000,0.619412,2.392647,no
rexxcps-rxbvm-poc,RexxCPS,crexx,rxbvm,macos-doorbell-poc,A,no,startup-included,1000-clauses,benchmark_rate,12,44247670.000000,45020949.750000,45124757.500000,45453572.500000,46037082.000000,165577.000000,0.366932,3.965477,no
rexxcps-rxtvm-e4,RexxCPS,crexx,rxtvm,e4-control,A,no,startup-included,1000-clauses,benchmark_rate,12,44796886.000000,45293287.500000,45839907.500000,46122694.750000,46231316.000000,378139.000000,0.824912,3.129217,no
rexxcps-rxtvm-poc,RexxCPS,crexx,rxtvm,macos-doorbell-poc,A,no,startup-included,1000-clauses,benchmark_rate,12,45206036.000000,45458084.250000,45713869.000000,45948577.750000,46197272.000000,247024.000000,0.540370,2.168349,no
