sample_id,stream,line_number,text
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-warmup-1,stdout,1,E5_RATE: 1433.964800645 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-warmup-1,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=178526000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=20398080 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1364 slabs_to_system=1287 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=504 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-warmup-1,stdout,1,E5_RATE: 1416.219027124 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-warmup-1,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=180763000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=18350080 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1340 slabs_to_system=1283 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=528 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-1,stdout,1,E5_RATE: 1157.119676006 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-1,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=221239000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=18087936 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1350 slabs_to_system=1273 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=518 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-1,stdout,1,E5_RATE: 1177.720834158 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-1,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=217369000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=20480000 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1336 slabs_to_system=1279 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=532 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-2,stdout,1,E5_RATE: 1095.848190780 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-2,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=233609000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=21987328 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1362 slabs_to_system=1305 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=506 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-2,stdout,1,E5_RATE: 1355.300495532 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-2,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=188888000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=26394624 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1340 slabs_to_system=1263 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=528 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-3,stdout,1,E5_RATE: 1165.145757003 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-3,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=219715000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=20398080 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1365 slabs_to_system=1288 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=503 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-3,stdout,1,E5_RATE: 1173.353867026 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-3,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=218178000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=19300352 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1387 slabs_to_system=1330 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=481 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-4,stdout,1,E5_RATE: 1369.767728058 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-4,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=186893000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=17842176 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1331 slabs_to_system=1274 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=537 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-4,stdout,1,E5_RATE: 1222.669048324 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-4,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=209378000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=20578304 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1340 slabs_to_system=1263 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=528 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-5,stdout,1,E5_RATE: 1279.379500942 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-5,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=200097000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=19464192 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1359 slabs_to_system=1282 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=509 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-5,stdout,1,E5_RATE: 1319.002916233 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-5,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=194086000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=18071552 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1358 slabs_to_system=1301 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=510 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-6,stdout,1,E5_RATE: 1366.061899680 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-6,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=187400000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=20774912 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1365 slabs_to_system=1308 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=503 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-6,stdout,1,E5_RATE: 1205.931676433 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-6,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=212284000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=20267008 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1328 slabs_to_system=1251 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=540 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-7,stdout,1,E5_RATE: 1298.609067944 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-7,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=197134000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=18022400 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1341 slabs_to_system=1264 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=527 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-7,stdout,1,E5_RATE: 1289.289329620 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-7,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=198559000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=20398080 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1355 slabs_to_system=1298 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=513 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-8,stdout,1,E5_RATE: 1211.209364162 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-8,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=211359000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=20414464 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1351 slabs_to_system=1294 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=517 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-8,stdout,1,E5_RATE: 1209.624071519 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-8,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=211636000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=18087936 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1360 slabs_to_system=1283 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=508 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-9,stdout,1,E5_RATE: 1247.709283737 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-9,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=205176000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=20381696 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1390 slabs_to_system=1313 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=478 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-9,stdout,1,E5_RATE: 1240.983479407 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-9,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=206288000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=20725760 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1363 slabs_to_system=1306 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=505 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-10,stdout,1,E5_RATE: 1251.393152533 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-10,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=204572000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=20774912 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1352 slabs_to_system=1295 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=516 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-10,stdout,1,E5_RATE: 1207.336455430 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-10,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=212037000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=20447232 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1340 slabs_to_system=1263 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=528 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-11,stdout,1,E5_RATE: 1239.475353323 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-11,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=206539000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=20414464 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1361 slabs_to_system=1284 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=507 memory_reclaim_calls=0 memory_reclaimed_slabs=0
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-11,stdout,1,E5_RATE: 1378.894299134 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-11,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=185656000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=18038784 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1349 slabs_to_system=1292 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=519 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-12,stdout,1,E5_RATE: 1256.250582733 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c1-confirm-recorded-12,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=203781000 checksum=2097152 max_parallel=4 reclaim_calls=4 reclaimed_slabs=36 resident_bytes=20234240 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=32 reserved_slabs=25 slabs_from_system=1341 slabs_to_system=1284 retained_slab_bytes=3735552 depot_refills=1868 depot_returns=1836 depot_hits=527 memory_reclaim_calls=4 memory_reclaimed_slabs=36
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-12,stdout,1,E5_RATE: 1319.050489749 jobs_per_second
timing-churn-rxbvml-w4-churn-rxbvml-w4-c0-confirm-recorded-12,stdout,2,E5_BENCHMARK result=PASS mode=executor4 workload=churn workers=4 jobs=256 iterations=8192 elapsed_ns=194079000 checksum=2097152 max_parallel=4 reclaim_calls=0 reclaimed_slabs=0 resident_bytes=18513920 live_allocations=68 live_capacity_bytes=22336 peak_worker_capacity_bytes=2114352 owned_slabs=68 reserved_slabs=9 slabs_from_system=1321 slabs_to_system=1244 retained_slab_bytes=5046272 depot_refills=1868 depot_returns=1800 depot_hits=547 memory_reclaim_calls=0 memory_reclaimed_slabs=0
