sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-warmup-1,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,warmup,1,1,256x65536,148387000,,0,pass,1845.124834227,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-warmup-1,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,warmup,1,2,256x65536,141556000,,0,pass,1861.967139189,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-1,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,1,1,256x65536,141431000,,0,pass,1860.559766849,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-1,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,1,2,256x65536,144072000,,0,pass,1825.129755319,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-2,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,2,1,256x65536,142439000,,0,pass,1847.321744276,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-2,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,2,2,256x65536,141873000,,0,pass,1855.812099025,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-3,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,3,1,256x65536,142233000,,0,pass,1853.782875681,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-3,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,3,2,256x65536,156697000,,0,pass,1680.407498818,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-4,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,4,1,256x65536,144511000,,0,pass,1828.688987149,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-4,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,4,2,256x65536,141834000,,0,pass,1859.127517266,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-5,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,5,1,256x65536,142429000,,0,pass,1849.056331212,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-5,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,5,2,256x65536,143007000,,0,pass,1838.855886853,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-6,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,6,1,256x65536,141124000,,0,pass,1864.530225783,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-6,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,6,2,256x65536,141299000,,0,pass,1862.563207101,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-7,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,7,1,256x65536,141374000,,0,pass,1864.706782143,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-7,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,7,2,256x65536,143496000,,0,pass,1830.715981578,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-8,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,8,1,256x65536,141920000,,0,pass,1854.373714253,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-8,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,8,2,256x65536,142167000,,0,pass,1849.296761564,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-9,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,9,1,256x65536,141208000,,0,pass,1861.317318249,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-9,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,9,2,256x65536,141549000,,0,pass,1857.347040941,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-10,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,10,1,256x65536,141362000,,0,pass,1858.344766509,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-10,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,10,2,256x65536,142564000,,0,pass,1846.868619826,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c0-recorded-11,timing,spin-rxbvml-w1,spin-rxbvml-w1-c0,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,recorded,11,1,256x65536,142684000,,0,pass,1850.272481533,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-11,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,11,2,256x65536,143661000,,0,pass,1834.928143927,jobs_per_second
timing-spin-rxbvml-w1-spin-rxbvml-w1-c1-recorded-12,timing,spin-rxbvml-w1,spin-rxbvml-w1-c1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,recorded,12,1,256x65536,141568000,,0,pass,1857.724432705,jobs_per_second
