cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
spin-rxbvml-w1-c0,spin-rxbvml-w1,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,1846.868620,1849.236654,1854.797487,1860.749155,1864.706782,5.751718,0.310100,0.961731,no
spin-rxbvml-w1-c1,spin-rxbvml-w1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,1680.407499,1830.209233,1843.088816,1857.441389,1864.530226,14.329027,0.777446,9.989900,no
spin-rxbvml-w2-c0,spin-rxbvml-w2,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,3573.771865,3601.588761,3620.652367,3634.753689,3681.334484,19.760045,0.545759,2.970808,no
spin-rxbvml-w2-c1,spin-rxbvml-w2,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,3000.011719,3567.384246,3607.338836,3622.264024,3651.196623,29.673616,0.822590,18.051670,yes
spin-rxbvml-w4-c0,spin-rxbvml-w4,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,3664.786555,3964.428576,4073.743505,4225.679931,4319.362894,139.201667,3.417045,16.068178,yes
spin-rxbvml-w4-c1,spin-rxbvml-w4,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,3974.784958,4074.319414,4109.659988,4218.471744,4307.878706,54.809410,1.333673,8.105141,no
spin-rxbvml-w8-c0,spin-rxbvml-w8,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,6301.693580,6334.830574,6362.699293,6487.675623,7080.233426,43.043987,0.676505,12.235999,yes
spin-rxbvml-w8-c1,spin-rxbvml-w8,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,6158.287226,6371.177948,6424.658133,6525.724233,7096.130391,97.278544,1.514144,14.597557,yes
spin-rxtvml-w1-c0,spin-rxtvml-w1,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,1330.464519,1434.915810,1515.794455,1524.589419,1542.902948,23.236385,1.532951,14.014989,yes
spin-rxtvml-w1-c1,spin-rxtvml-w1,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,1427.949888,1442.083040,1522.563379,1528.070840,1543.591382,8.028570,0.527306,7.595184,no
spin-rxtvml-w2-c0,spin-rxtvml-w2,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,2814.207350,2960.026816,2987.427716,3000.798516,3023.860146,17.145929,0.573936,7.017837,no
spin-rxtvml-w2-c1,spin-rxtvml-w2,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,2801.825564,2935.265653,2981.893990,2994.782532,2997.658080,12.958613,0.434577,6.567387,no
spin-rxtvml-w4-c0,spin-rxtvml-w4,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,3927.705668,4329.291755,4675.957949,4841.672568,5058.388824,230.973523,4.939598,24.180781,yes
spin-rxtvml-w4-c1,spin-rxtvml-w4,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,3917.427964,4247.594406,4653.182363,4835.145895,5337.558901,266.977700,5.737529,30.519563,yes
spin-rxtvml-w8-c0,spin-rxtvml-w8,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x65536,benchmark_rate,12,6486.431702,6725.304116,7018.299006,7229.511270,7447.272727,241.845070,3.445921,13.690511,yes
spin-rxtvml-w8-c1,spin-rxtvml-w8,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x65536,benchmark_rate,12,6890.240620,7147.705021,7267.825958,7363.569540,7475.325585,115.367033,1.587366,8.050344,no
churn-rxbvml-w1-c0,churn-rxbvml-w1,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,1880.665873,1893.954897,1904.430211,1923.739448,1955.721249,14.913512,0.783096,3.941094,no
churn-rxbvml-w1-c1,churn-rxbvml-w1,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,1807.003550,1886.011778,1931.602525,1943.864811,1991.628935,24.784364,1.283099,9.558146,no
churn-rxbvml-w2-c0,churn-rxbvml-w2,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,1724.172767,1782.712984,1812.653820,1844.575043,1872.467415,33.722316,1.860384,8.181079,no
churn-rxbvml-w2-c1,churn-rxbvml-w2,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,1687.140824,1788.035785,1815.658458,1827.957848,1861.060223,20.247365,1.115153,9.578861,no
churn-rxbvml-w4-c0,churn-rxbvml-w4,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,1158.743307,1289.350419,1363.450761,1412.652914,1450.687943,57.094423,4.187494,21.412188,yes
churn-rxbvml-w4-c1,churn-rxbvml-w4,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,1097.088003,1213.613696,1278.436197,1367.614382,1392.454636,86.600621,6.773949,23.103745,yes
churn-rxbvml-w8-c0,churn-rxbvml-w8,crexx,rxbvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,994.874067,1055.288664,1061.944729,1078.327916,1087.469043,10.879209,1.024461,8.719378,no
churn-rxbvml-w8-c1,churn-rxbvml-w8,crexx,rxbvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,1020.265827,1038.559668,1057.486958,1074.255106,1133.651287,19.446616,1.838946,10.722162,yes
churn-rxtvml-w1-c0,churn-rxtvml-w1,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,1771.785697,1828.122520,1846.207716,1859.691355,1942.734855,19.069772,1.032916,9.259476,no
churn-rxtvml-w1-c1,churn-rxtvml-w1,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,1709.789883,1846.845782,1855.128228,1871.975732,1914.161806,11.261344,0.607039,11.016593,yes
churn-rxtvml-w2-c0,churn-rxtvml-w2,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,1710.863986,1737.257320,1784.809610,1835.494775,1889.954449,52.828702,2.959907,10.034149,yes
churn-rxtvml-w2-c1,churn-rxtvml-w2,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,1632.944658,1732.146526,1778.417065,1802.330700,1864.245090,40.965248,2.303467,13.005972,yes
churn-rxtvml-w4-c0,churn-rxtvml-w4,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,1172.193375,1197.529229,1333.809444,1379.476677,1466.510850,97.705330,7.325284,22.065931,yes
churn-rxtvml-w4-c1,churn-rxtvml-w4,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,1173.289335,1177.639956,1209.690473,1358.292041,1463.986504,35.123926,2.903547,24.030707,yes
churn-rxtvml-w8-c0,churn-rxtvml-w8,crexx,rxtvml,c0-owner-only,E6-C0,no,persistent-worker,256x8192,benchmark_rate,12,977.976429,1009.277836,1020.120315,1035.437237,1072.453447,18.379535,1.801703,9.261360,no
churn-rxtvml-w8-c1,churn-rxtvml-w8,crexx,rxtvml,c1-idle-handback,E6-C1,no,persistent-worker,256x8192,benchmark_rate,12,985.775567,1013.458092,1027.063780,1052.496664,1140.438802,19.222135,1.871562,15.058776,yes
