phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,13,rxbvml,spin-w1,accepted,1696.746356303,150877.000
recorded,1,14,rxbvml,spin-w1,candidate,1768.847554361,144727.000
recorded,1,15,rxbvml,spin-w4,accepted,6019.846682030,42526.000
recorded,1,16,rxbvml,spin-w4,candidate,6182.081622796,41410.000
recorded,1,17,rxbvml,channel-latency,accepted,135145.836082882393,7577
recorded,1,17,rxbvml,channel-throughput,accepted,3121.646668617696,82008
recorded,1,18,rxbvml,channel-latency,candidate,137173.476222371071,7465
recorded,1,18,rxbvml,channel-throughput,candidate,3161.391506230164,80977
recorded,1,19,rxtvml,spin-w1,accepted,1214.288763560,210823.000
recorded,1,20,rxtvml,spin-w1,candidate,1323.886849046,193370.000
recorded,1,21,rxtvml,spin-w4,accepted,4834.201979001,52956.000
recorded,1,22,rxtvml,spin-w4,candidate,4942.848316342,51792.000
recorded,1,23,rxtvml,channel-latency,accepted,130996.545989510036,7817
recorded,1,23,rxtvml,channel-throughput,accepted,2709.510806291145,94482
recorded,1,24,rxtvml,channel-latency,candidate,139471.533642059396,7342
recorded,1,24,rxtvml,channel-throughput,candidate,2661.869755544696,96173
recorded,2,25,rxtvml,channel-latency,candidate,139928.942333971034,7318
recorded,2,25,rxtvml,channel-throughput,candidate,2688.397882886667,95224
recorded,2,26,rxtvml,channel-latency,accepted,139852.499317126465,7322
recorded,2,26,rxtvml,channel-throughput,accepted,2657.421055909648,96334
recorded,2,27,rxtvml,spin-w4,candidate,4919.103800776,52042.000
recorded,2,28,rxtvml,spin-w4,accepted,4879.443438483,52465.000
recorded,2,29,rxtvml,spin-w1,candidate,1280.345693337,199946.000
recorded,2,30,rxtvml,spin-w1,accepted,1264.678420930,202423.000
recorded,2,31,rxbvml,channel-latency,candidate,130412.633723891995,7852
recorded,2,31,rxbvml,channel-throughput,candidate,3107.361777022516,82385
recorded,2,32,rxbvml,channel-latency,accepted,139281.828073993471,7352
recorded,2,32,rxbvml,channel-throughput,accepted,3093.094907267565,82765
recorded,2,33,rxbvml,spin-w4,candidate,5851.963608101,43746.000
recorded,2,34,rxbvml,spin-w4,accepted,6032.187374820,42439.000
recorded,2,35,rxbvml,spin-w1,candidate,1584.158415842,161600.000
recorded,2,36,rxbvml,spin-w1,accepted,1642.826431537,155829.000
recorded,3,37,rxbvml,spin-w1,accepted,1677.192798553,152636.000
recorded,3,38,rxbvml,spin-w1,candidate,1581.154613451,161907.000
recorded,3,39,rxbvml,spin-w4,accepted,4961.624932165,51596.000
recorded,3,40,rxbvml,spin-w4,candidate,6069.514912988,42178.000
recorded,3,41,rxbvml,channel-latency,accepted,131416.837782340852,7792
recorded,3,41,rxbvml,channel-throughput,accepted,3071.791118203962,83339
recorded,3,42,rxbvml,channel-latency,candidate,143982.002249718789,7112
recorded,3,42,rxbvml,channel-throughput,candidate,3133.683424528417,81693
recorded,3,43,rxtvml,spin-w1,accepted,1249.499712029,204882.000
recorded,3,44,rxtvml,spin-w1,candidate,1286.748998497,198951.000
recorded,3,45,rxtvml,spin-w4,accepted,4868.493619611,52583.000
recorded,3,46,rxtvml,spin-w4,candidate,4590.199207473,55771.000
recorded,3,47,rxtvml,channel-latency,accepted,136587.968520741619,7497
recorded,3,47,rxtvml,channel-throughput,accepted,2599.407010275781,98484
recorded,3,48,rxtvml,channel-latency,candidate,139281.828073993471,7352
recorded,3,48,rxtvml,channel-throughput,candidate,2363.324163143221,108322
recorded,4,49,rxtvml,channel-latency,candidate,135145.836082882393,7577
recorded,4,49,rxtvml,channel-throughput,candidate,2688.002688002688,95238
