phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,140254.759621969599,7301
recorded,1,5,rxbvml,channel-throughput,accepted,2739.110431088903,93461
recorded,1,6,rxbvml,channel-latency,candidate,128951.013726230958,7941
recorded,1,6,rxbvml,channel-throughput,candidate,3155.429557500308,81130
recorded,1,7,rxtvml,channel-latency,accepted,139833.401611361478,7323
recorded,1,7,rxtvml,channel-throughput,accepted,2758.293736733792,92811
recorded,1,8,rxtvml,channel-latency,candidate,133611.691022964515,7664
recorded,1,8,rxtvml,channel-throughput,candidate,2791.772993958429,91698
recorded,2,9,rxtvml,channel-latency,candidate,144960.362400906015,7064
recorded,2,9,rxtvml,channel-throughput,candidate,2788.640646616050,91801
recorded,2,10,rxtvml,channel-latency,accepted,137782.561894510232,7432
recorded,2,10,rxtvml,channel-throughput,accepted,2733.816022724846,93642
recorded,2,11,rxbvml,channel-latency,candidate,134365.568822989095,7621
recorded,2,11,rxbvml,channel-throughput,candidate,3119.288412330937,82070
recorded,2,12,rxbvml,channel-latency,accepted,139357.648339684267,7348
recorded,2,12,rxbvml,channel-throughput,accepted,3169.336667739619,80774
recorded,3,13,rxbvml,channel-latency,accepted,139948.066147328151,7317
recorded,3,13,rxbvml,channel-throughput,accepted,3161.001148332448,80987
recorded,3,14,rxbvml,channel-latency,candidate,140139.592171889963,7307
recorded,3,14,rxbvml,channel-throughput,candidate,3142.878188916444,81454
recorded,3,15,rxtvml,channel-latency,accepted,138866.286954163283,7374
recorded,3,15,rxtvml,channel-throughput,accepted,2688.595523908546,95217
recorded,3,16,rxtvml,channel-latency,candidate,146411.209608235629,6994
recorded,3,16,rxtvml,channel-throughput,candidate,2768.764871295695,92460
recorded,4,17,rxtvml,channel-latency,candidate,141749.723145071970,7224
recorded,4,17,rxtvml,channel-throughput,candidate,2758.115431440361,92817
recorded,4,18,rxtvml,channel-latency,accepted,143618.513323983178,7130
recorded,4,18,rxtvml,channel-throughput,accepted,2472.593808856908,103535
recorded,4,19,rxbvml,channel-latency,candidate,137560.451370231051,7444
recorded,4,19,rxbvml,channel-throughput,candidate,2848.020292144582,89887
recorded,4,20,rxbvml,channel-latency,accepted,130015.236160487562,7876
recorded,4,20,rxbvml,channel-throughput,accepted,3062.091073286844,83603
recorded,5,21,rxbvml,channel-latency,accepted,137578.933225849789,7443
recorded,5,21,rxbvml,channel-throughput,accepted,3117.503074880963,82117
recorded,5,22,rxbvml,channel-latency,candidate,137838.201642212953,7429
recorded,5,22,rxbvml,channel-throughput,candidate,3158.544108574954,81050
recorded,5,23,rxtvml,channel-latency,accepted,139187.168682887044,7357
recorded,5,23,rxtvml,channel-throughput,accepted,2698.799245179586,94857
recorded,5,24,rxtvml,channel-latency,candidate,145889.727881464583,7019
recorded,5,24,rxtvml,channel-throughput,candidate,2717.852896211993,94192
recorded,6,25,rxtvml,channel-latency,candidate,141046.831955922855,7260
recorded,6,25,rxtvml,channel-throughput,candidate,2713.301536830948,94350
recorded,6,26,rxtvml,channel-latency,accepted,145806.635341022367,7023
recorded,6,26,rxtvml,channel-throughput,accepted,2693.914489261173,95029
recorded,6,27,rxbvml,channel-latency,candidate,138565.629228687409,7390
recorded,6,27,rxbvml,channel-throughput,candidate,3151.040705045358,81243
recorded,6,28,rxbvml,channel-latency,accepted,135989.375830013276,7530
recorded,6,28,rxbvml,channel-throughput,accepted,3031.020601468151,84460
recorded,7,29,rxbvml,channel-latency,accepted,141377.882093055377,7243
recorded,7,29,rxbvml,channel-throughput,accepted,3117.237348399980,82124
recorded,7,30,rxbvml,channel-latency,candidate,138603.140227395779,7388
recorded,7,30,rxbvml,channel-throughput,candidate,3109.853132326680,82319
recorded,7,31,rxtvml,channel-latency,accepted,139585.605234460207,7336
recorded,7,31,rxtvml,channel-throughput,accepted,2616.650482955997,97835
recorded,7,32,rxtvml,channel-latency,candidate,138678.223185265437,7384
recorded,7,32,rxtvml,channel-throughput,candidate,2701.846965699208,94750
recorded,8,33,rxtvml,channel-latency,candidate,144326.990838618745,7095
recorded,8,33,rxtvml,channel-throughput,candidate,2667.111185197533,95984
recorded,8,34,rxtvml,channel-latency,accepted,137597.420048374101,7442
recorded,8,34,rxtvml,channel-throughput,accepted,2697.121665472629,94916
recorded,8,35,rxbvml,channel-latency,candidate,137431.217286270286,7451
recorded,8,35,rxbvml,channel-throughput,candidate,3148.754028191188,81302
recorded,8,36,rxbvml,channel-latency,accepted,137431.217286270286,7451
recorded,8,36,rxbvml,channel-throughput,accepted,3146.354653163561,81364
recorded,9,37,rxbvml,channel-latency,accepted,142677.999163996108,7177
recorded,9,37,rxbvml,channel-throughput,accepted,3129.775658658842,81795
recorded,9,38,rxbvml,channel-latency,candidate,135629.139072847669,7550
recorded,9,38,rxbvml,channel-throughput,candidate,3115.833546329767,82161
recorded,9,39,rxtvml,channel-latency,accepted,136115.911205636046,7523
recorded,9,39,rxtvml,channel-throughput,accepted,2677.908302561796,95597
recorded,9,40,rxtvml,channel-latency,candidate,142598.523882467620,7181
recorded,9,40,rxtvml,channel-throughput,candidate,2681.245941473429,95478
recorded,10,41,rxtvml,channel-latency,candidate,143377.205264631746,7142
recorded,10,41,rxtvml,channel-throughput,candidate,2682.988178083340,95416
recorded,10,42,rxtvml,channel-latency,accepted,139433.551198257075,7344
recorded,10,42,rxtvml,channel-throughput,accepted,2650.652308966660,96580
recorded,10,43,rxbvml,channel-latency,candidate,129081.053825790994,7933
recorded,10,43,rxbvml,channel-throughput,candidate,3125.572309382821,81905
recorded,10,44,rxbvml,channel-latency,accepted,138490.668109277787,7394
recorded,10,44,rxbvml,channel-throughput,accepted,3107.588098908702,82379
recorded,11,45,rxbvml,channel-latency,accepted,141260.863567388617,7249
recorded,11,45,rxbvml,channel-throughput,accepted,3163.696581724709,80918
recorded,11,46,rxbvml,channel-latency,candidate,136806.947227788914,7485
recorded,11,46,rxbvml,channel-throughput,candidate,3097.960912446300,82635
recorded,11,47,rxtvml,channel-latency,accepted,139187.168682887044,7357
recorded,11,47,rxtvml,channel-throughput,accepted,2676.592363347414,95644
recorded,11,48,rxtvml,channel-latency,candidate,139547.560643227043,7338
recorded,11,48,rxtvml,channel-throughput,candidate,2696.099081641250,94952
recorded,12,49,rxtvml,channel-latency,candidate,141475.545730864891,7238
recorded,12,49,rxtvml,channel-throughput,candidate,2687.240854458616,95265
recorded,12,50,rxtvml,channel-latency,accepted,137745.493677697057,7434
recorded,12,50,rxtvml,channel-throughput,accepted,2671.676059277813,95820
recorded,12,51,rxbvml,channel-latency,candidate,137560.451370231051,7444
recorded,12,51,rxbvml,channel-throughput,candidate,3060.699895984027,83641
recorded,12,52,rxbvml,channel-latency,accepted,142519.137091162149,7185
recorded,12,52,rxbvml,channel-throughput,accepted,3045.552422760746,84057
