phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,142757.563083786430,7173
recorded,1,5,rxbvml,channel-throughput,accepted,3120.619247882002,82035
recorded,1,6,rxbvml,channel-latency,candidate,135003.295978905750,7585
recorded,1,6,rxbvml,channel-throughput,candidate,3087.238609777864,82922
recorded,1,7,rxtvml,channel-latency,accepted,135431.821187673602,7561
recorded,1,7,rxtvml,channel-throughput,accepted,2705.473299303552,94623
recorded,1,8,rxtvml,channel-latency,candidate,138471.940500338067,7395
recorded,1,8,rxtvml,channel-throughput,candidate,2773.083755795312,92316
recorded,2,9,rxtvml,channel-latency,candidate,137875.319779184065,7427
recorded,2,9,rxtvml,channel-throughput,candidate,2758.234299074483,92813
recorded,2,10,rxtvml,channel-latency,accepted,138098.449089683068,7415
recorded,2,10,rxtvml,channel-throughput,accepted,2662.395740166816,96154
recorded,2,11,rxbvml,channel-latency,candidate,141985.579589572939,7212
recorded,2,11,rxbvml,channel-throughput,candidate,2933.660314222523,87263
recorded,2,12,rxbvml,channel-latency,accepted,133125.325013000518,7692
recorded,2,12,rxbvml,channel-throughput,accepted,3142.222385879638,81471
recorded,3,13,rxbvml,channel-latency,accepted,135539.377895433485,7555
recorded,3,13,rxbvml,channel-throughput,accepted,3111.402805124092,82278
recorded,3,14,rxbvml,channel-latency,candidate,130946.291560102298,7820
recorded,3,14,rxbvml,channel-throughput,candidate,3116.819869726669,82135
recorded,3,15,rxtvml,channel-latency,accepted,136152.107432522258,7521
recorded,3,15,rxtvml,channel-throughput,accepted,2679.001234852132,95558
recorded,3,16,rxtvml,channel-latency,candidate,133073.424301494466,7695
recorded,3,16,rxtvml,channel-throughput,candidate,2679.534012288175,95539
recorded,4,17,rxtvml,channel-latency,candidate,129390.952741976245,7914
recorded,4,17,rxtvml,channel-throughput,candidate,2656.786740973671,96357
recorded,4,18,rxtvml,channel-latency,accepted,136569.751933849038,7498
recorded,4,18,rxtvml,channel-throughput,accepted,2658.883891941297,96281
recorded,4,19,rxbvml,channel-latency,candidate,136770.402030185651,7487
recorded,4,19,rxbvml,channel-throughput,candidate,3090.481076839500,82835
recorded,4,20,rxbvml,channel-latency,accepted,134701.394369902671,7602
recorded,4,20,rxbvml,channel-throughput,accepted,2951.893362852267,86724
recorded,5,21,rxbvml,channel-latency,accepted,129489.124936772889,7908
recorded,5,21,rxbvml,channel-throughput,accepted,3012.331733032100,84984
recorded,5,22,rxbvml,channel-latency,candidate,133194.588969823089,7688
recorded,5,22,rxbvml,channel-throughput,candidate,3041.572112585693,84167
recorded,5,23,rxtvml,channel-latency,accepted,141769.347916378232,7223
recorded,5,23,rxtvml,channel-throughput,accepted,2588.630250571319,98894
recorded,5,24,rxtvml,channel-latency,candidate,136406.021047022776,7507
recorded,5,24,rxtvml,channel-throughput,candidate,2676.004808446140,95665
recorded,6,25,rxtvml,channel-latency,candidate,136152.107432522258,7521
recorded,6,25,rxtvml,channel-throughput,candidate,2689.329873622507,95191
recorded,6,26,rxtvml,channel-latency,accepted,137578.933225849789,7443
recorded,6,26,rxtvml,channel-throughput,accepted,2643.999876062506,96823
recorded,6,27,rxbvml,channel-latency,candidate,140659.340659340669,7280
recorded,6,27,rxbvml,channel-throughput,candidate,3020.185694229794,84763
recorded,6,28,rxbvml,channel-latency,accepted,130678.917815211840,7836
recorded,6,28,rxbvml,channel-throughput,accepted,3058.798226852903,83693
recorded,7,29,rxbvml,channel-latency,accepted,138247.603618199006,7407
recorded,7,29,rxbvml,channel-throughput,accepted,3029.693361894505,84497
recorded,7,30,rxbvml,channel-latency,candidate,138565.629228687409,7390
recorded,7,30,rxbvml,channel-throughput,candidate,2980.209545983702,85900
recorded,7,31,rxtvml,channel-latency,accepted,135378.106821787427,7564
recorded,7,31,rxtvml,channel-throughput,accepted,2697.093249892011,94917
recorded,7,32,rxtvml,channel-latency,candidate,139206.090266449144,7356
recorded,7,32,rxtvml,channel-throughput,candidate,2689.358125853556,95190
recorded,8,33,rxtvml,channel-latency,candidate,134171.907756813423,7632
recorded,8,33,rxtvml,channel-throughput,candidate,2642.198804817885,96889
recorded,8,34,rxtvml,channel-latency,accepted,139814.309120699065,7324
recorded,8,34,rxtvml,channel-throughput,accepted,2685.014264138278,95344
recorded,8,35,rxbvml,channel-latency,candidate,137523.502551705606,7446
recorded,8,35,rxbvml,channel-throughput,candidate,3076.183609709205,83220
recorded,8,36,rxbvml,channel-latency,accepted,134683.677495725366,7603
recorded,8,36,rxbvml,channel-throughput,accepted,2956.290778913332,86595
recorded,9,37,rxbvml,channel-latency,accepted,131704.180064308690,7775
recorded,9,37,rxbvml,channel-throughput,accepted,3068.367053408764,83432
recorded,9,38,rxbvml,channel-latency,candidate,135110.172846021916,7579
recorded,9,38,rxbvml,channel-throughput,candidate,3032.384923361209,84422
recorded,9,39,rxtvml,channel-latency,accepted,142103.802386899799,7206
recorded,9,39,rxtvml,channel-throughput,accepted,2679.562059075970,95538
recorded,9,40,rxtvml,channel-latency,candidate,137949.616058197484,7423
recorded,9,40,rxtvml,channel-throughput,candidate,2608.890610032000,98126
recorded,10,41,rxtvml,channel-latency,candidate,125999.753906730650,8127
recorded,10,41,rxtvml,channel-throughput,candidate,2851.859278568723,89766
recorded,10,42,rxtvml,channel-latency,accepted,129456.384323640959,7910
recorded,10,42,rxtvml,channel-throughput,accepted,2657.696939495868,96324
recorded,10,43,rxbvml,channel-latency,candidate,136935.009360791650,7478
recorded,10,43,rxbvml,channel-throughput,candidate,2987.025109679828,85704
recorded,10,44,rxbvml,channel-latency,accepted,140082.079343365243,7310
recorded,10,44,rxbvml,channel-throughput,accepted,3039.838508579232,84215
recorded,11,45,rxbvml,channel-latency,accepted,137708.445400753088,7436
recorded,11,45,rxbvml,channel-throughput,accepted,3031.523103521777,84446
recorded,11,46,rxbvml,channel-latency,candidate,130429.244682206088,7851
recorded,11,46,rxbvml,channel-throughput,candidate,3000.679841526596,85314
recorded,11,47,rxtvml,channel-latency,accepted,132642.487046632130,7720
recorded,11,47,rxtvml,channel-throughput,accepted,2679.646202962265,95535
recorded,11,48,rxtvml,channel-latency,candidate,128352.970669340692,7978
recorded,11,48,rxtvml,channel-throughput,candidate,2387.814683194822,107211
recorded,12,49,rxtvml,channel-latency,candidate,133943.754087638983,7645
recorded,12,49,rxtvml,channel-throughput,candidate,2355.604221684441,108677
recorded,12,50,rxtvml,channel-latency,accepted,128032.008002000497,7998
recorded,12,50,rxtvml,channel-throughput,accepted,2603.478084002847,98330
recorded,12,51,rxbvml,channel-latency,candidate,128659.379319009924,7959
recorded,12,51,rxbvml,channel-throughput,candidate,2897.271358888172,88359
recorded,12,52,rxbvml,channel-latency,accepted,141144.038594073063,7255
recorded,12,52,rxbvml,channel-throughput,accepted,3050.160848325986,83930
