phase,round,position,vm,cell,variant,rate_jobs_per_second,elapsed_us
recorded,1,5,rxbvml,channel-latency,accepted,97626.084469444177,10489
recorded,1,5,rxbvml,channel-throughput,accepted,3204.205519744665,79895
recorded,1,6,rxbvml,channel-latency,candidate,136642.647451294382,7494
recorded,1,6,rxbvml,channel-throughput,candidate,3155.235101990510,81135
recorded,1,7,rxtvml,channel-latency,accepted,100480.816406633297,10191
recorded,1,7,rxtvml,channel-throughput,accepted,2730.812309989866,93745
recorded,1,8,rxtvml,channel-latency,candidate,139909.823746413458,7319
recorded,1,8,rxtvml,channel-throughput,candidate,2785.363783742615,91909
recorded,2,9,rxtvml,channel-latency,candidate,145931.309676499921,7017
recorded,2,9,rxtvml,channel-throughput,candidate,2786.394557823129,91875
recorded,2,10,rxtvml,channel-latency,accepted,103980.503655564578,9848
recorded,2,10,rxtvml,channel-throughput,accepted,2751.445583714882,93042
recorded,2,11,rxbvml,channel-latency,candidate,139262.885896912834,7353
recorded,2,11,rxbvml,channel-throughput,candidate,3149.761307150943,81276
recorded,2,12,rxbvml,channel-latency,accepted,98879.876400154506,10356
recorded,2,12,rxbvml,channel-throughput,accepted,3156.207619282456,81110
recorded,3,13,rxbvml,channel-latency,accepted,103559.870550161810,9888
recorded,3,13,rxbvml,channel-throughput,accepted,3185.624867784124,80361
recorded,3,14,rxbvml,channel-latency,candidate,134031.413612565433,7640
recorded,3,14,rxbvml,channel-throughput,candidate,3164.830817540086,80889
recorded,3,15,rxtvml,channel-latency,accepted,95034.802784222731,10775
recorded,3,15,rxtvml,channel-throughput,accepted,2773.083755795312,92316
recorded,3,16,rxtvml,channel-latency,candidate,141612.501728668227,7231
recorded,3,16,rxtvml,channel-throughput,candidate,2771.462596080979,92370
recorded,4,17,rxtvml,channel-latency,candidate,140254.759621969599,7301
recorded,4,17,rxtvml,channel-throughput,candidate,2787.061935919349,91853
recorded,4,18,rxtvml,channel-latency,accepted,112812.603283023025,9077
recorded,4,18,rxtvml,channel-throughput,accepted,2735.013514812876,93601
recorded,4,19,rxbvml,channel-latency,candidate,140794.720197992574,7273
