sample_id,stream,line_number,text
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-warmup-1,stdout,1,SERVER_METRICS served=2 elapsed_us=331687 scans=266 idle_scans=261
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-warmup-1,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-1,stdout,1,SERVER_METRICS served=2 elapsed_us=315084 scans=253 idle_scans=248
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-1,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-2,stdout,1,SERVER_METRICS served=2 elapsed_us=332087 scans=266 idle_scans=261
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-2,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-3,stdout,1,SERVER_METRICS served=2 elapsed_us=331141 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-3,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-4,stdout,1,SERVER_METRICS served=2 elapsed_us=330897 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-4,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-5,stdout,1,SERVER_METRICS served=2 elapsed_us=330884 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-5,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-6,stdout,1,SERVER_METRICS served=2 elapsed_us=329273 scans=264 idle_scans=259
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-6,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-7,stdout,1,SERVER_METRICS served=2 elapsed_us=332311 scans=266 idle_scans=261
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-7,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-8,stdout,1,SERVER_METRICS served=2 elapsed_us=330960 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-8,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-9,stdout,1,SERVER_METRICS served=2 elapsed_us=330670 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-9,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-10,stdout,1,SERVER_METRICS served=2 elapsed_us=330809 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-10,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-11,stdout,1,SERVER_METRICS served=2 elapsed_us=332320 scans=266 idle_scans=261
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-11,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-12,stdout,1,SERVER_METRICS served=2 elapsed_us=330801 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-noopt-server-rxbvm-noopt-recorded-12,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-warmup-1,stdout,1,SERVER_METRICS served=2 elapsed_us=329722 scans=264 idle_scans=259
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-warmup-1,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-1,stdout,1,SERVER_METRICS served=2 elapsed_us=331051 scans=265 idle_scans=260
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-1,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-2,stdout,1,SERVER_METRICS served=2 elapsed_us=309776 scans=249 idle_scans=244
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-2,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-3,stdout,1,SERVER_METRICS served=2 elapsed_us=329671 scans=264 idle_scans=259
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-3,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-4,stdout,1,SERVER_METRICS served=2 elapsed_us=325157 scans=245 idle_scans=240
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-4,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-5,stdout,1,SERVER_METRICS served=2 elapsed_us=329737 scans=264 idle_scans=259
timing-HTTP-Server-rxbvm-opt-server-rxbvm-opt-recorded-5,stdout,2,PASS: Level G HTTP server dispatched two bounded requests to task handlers
