workload,kind,identity,static_sites,path
sieve,public-serialized,minlinkattr1,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_sieve_opt.rxas
sieve,public-serialized,igetunlink,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_sieve_opt.rxas
sieve,public-serialized,setlinkiload,2,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_sieve_opt.rxas
sieve,public-serialized,isetunlink,2,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_sieve_opt.rxas
sieve,public-serialized,bctp,3,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_sieve_opt.rxas
sieve,public-serialized,setlinkattr1,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_sieve_opt.rxas
sieve,public-serialized,append,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_sieve_opt.rxas
permute,public-serialized,minlinkattr1,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
permute,public-serialized,igetunlink,16,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
permute,public-serialized,isetattr1,7,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
permute,public-serialized,linksetattrslinkadd,20,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
permute,public-serialized,unlinkn,7,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
permute,public-serialized,isetunlinkn,7,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
permute,public-serialized,bctp,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
permute,public-serialized,append,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_permute_opt.rxas
mandelbrot,public-serialized,minlinkattr1,1,cmake-build-release/tests/benchmarks/fusion-census-disassembly/benchmark_awfy_mandelbrot_opt.rxas
