kind,identity,static_sites
private-load-time,PRIVATE_R1_RELINK,18
private-load-time,PRIVATE_R2_COPYATTR1,16
public-serialized,append,29
public-serialized,bctp,62
public-serialized,beq,14
public-serialized,bge,26
public-serialized,bgt,4
public-serialized,ble,4
public-serialized,blt,1
public-serialized,bne,24
public-serialized,fdivsub,2
public-serialized,igetunlink,142
public-serialized,iloadsetunlinkn,133
public-serialized,isetattr1,160
public-serialized,isetunlink,2
public-serialized,isetunlinkn,51
public-serialized,itof-two-register,8
public-serialized,linksetattrslinkadd,123
public-serialized,loadsettp2,3
public-serialized,loadsettpswap,7
public-serialized,minlinkattr1,187
public-serialized,nulln,38
public-serialized,parsepos2,1
public-serialized,parsewords3,1
public-serialized,parsewords3d,1
public-serialized,setlinkattr1,24
public-serialized,setlinkiload,2
public-serialized,settpcall,42
public-serialized,settpswapcall,8
public-serialized,stoi-two-register,1
public-serialized,swapcall,6
public-serialized,swapn,9
public-serialized,swapsettp,5
public-serialized,swapsettpswap,1
public-serialized,unlinkbr,22
public-serialized,unlinkn,105
