vm,mode,benchmark,rc,pass
rxvm,noopt,benchmark_awfy_mandelbrot_hoisted_control,0,yes
rxvm,noopt,benchmark_awfy_queens,0,yes
rxvm,noopt,benchmark_awfy_nbody,0,yes
rxvm,noopt,benchmark_json_parse,0,yes
rxvm,noopt,benchmark_json_query,0,yes
rxvm,noopt,benchmark_base64_roundtrip_v2,0,yes
rxvm,opt,benchmark_awfy_mandelbrot_hoisted_control,0,yes
rxvm,opt,benchmark_awfy_queens,0,yes
rxvm,opt,benchmark_awfy_nbody,0,yes
rxvm,opt,benchmark_json_parse,0,yes
rxvm,opt,benchmark_json_query,0,yes
rxvm,opt,benchmark_base64_roundtrip_v2,0,yes
rxtvm,noopt,benchmark_awfy_mandelbrot_hoisted_control,0,yes
rxtvm,noopt,benchmark_awfy_queens,0,yes
rxtvm,noopt,benchmark_awfy_nbody,0,yes
rxtvm,noopt,benchmark_json_parse,0,yes
rxtvm,noopt,benchmark_json_query,0,yes
rxtvm,noopt,benchmark_base64_roundtrip_v2,0,yes
rxtvm,opt,benchmark_awfy_mandelbrot_hoisted_control,0,yes
rxtvm,opt,benchmark_awfy_queens,0,yes
rxtvm,opt,benchmark_awfy_nbody,0,yes
rxtvm,opt,benchmark_json_parse,0,yes
rxtvm,opt,benchmark_json_query,0,yes
rxtvm,opt,benchmark_base64_roundtrip_v2,0,yes
rxbvm,noopt,benchmark_awfy_mandelbrot_hoisted_control,0,yes
rxbvm,noopt,benchmark_awfy_queens,0,yes
rxbvm,noopt,benchmark_awfy_nbody,0,yes
rxbvm,noopt,benchmark_json_parse,0,yes
rxbvm,noopt,benchmark_json_query,0,yes
rxbvm,noopt,benchmark_base64_roundtrip_v2,0,yes
rxbvm,opt,benchmark_awfy_mandelbrot_hoisted_control,0,yes
rxbvm,opt,benchmark_awfy_queens,0,yes
rxbvm,opt,benchmark_awfy_nbody,0,yes
rxbvm,opt,benchmark_json_parse,0,yes
rxbvm,opt,benchmark_json_query,0,yes
rxbvm,opt,benchmark_base64_roundtrip_v2,0,yes
