cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
adapter-mc-common18-arithmetic,DECIMAL-L1-arithmetic,crexx,adapter,D0-mc-current,D,no,steady-adapter,50000000,elapsed_ns,10,2598217000.000000,2664024250.000000,2690296000.000000,2715811250.000000,2727303000.000000,29187500.000000,1.084918,4.798208,no
adapter-db-common18-arithmetic,DECIMAL-L1-arithmetic,crexx,adapter,D1a-db-diagnostic,D,no,steady-adapter,50000000,elapsed_ns,10,1142329000.000000,1201070250.000000,1225008500.000000,1232165250.000000,1406717000.000000,9893500.000000,0.807627,21.582544,yes
adapter-mc-classic9-arithmetic,DECIMAL-L1-arithmetic,crexx,adapter,D0-mc-current,D,no,steady-adapter,50000000,elapsed_ns,10,3192638000.000000,3245864250.000000,3286607500.000000,3304024500.000000,3348735000.000000,20308500.000000,0.617917,4.749487,no
adapter-db-classic9-arithmetic,DECIMAL-L1-arithmetic,crexx,adapter,D1b-db-qualified,D,no,steady-adapter,50000000,elapsed_ns,10,1157211000.000000,1196486250.000000,1213253000.000000,1237230750.000000,1352560000.000000,22205500.000000,1.830245,16.101258,yes
adapter-mc-common18-conversion,DECIMAL-L1-conversion,crexx,adapter,D0-mc-current,D,no,steady-adapter,6000000,elapsed_ns,10,318678000.000000,322448500.000000,323750500.000000,324646750.000000,326084000.000000,1241500.000000,0.383474,2.287564,no
adapter-db-common18-conversion,DECIMAL-L1-conversion,crexx,adapter,D1a-db-diagnostic,D,no,steady-adapter,6000000,elapsed_ns,10,1694825000.000000,1696802750.000000,1700328000.000000,1714319000.000000,1733211000.000000,5457500.000000,0.320967,2.257564,no
adapter-mc-classic9-conversion,DECIMAL-L1-conversion,crexx,adapter,D0-mc-current,D,no,steady-adapter,6000000,elapsed_ns,10,312380000.000000,317853500.000000,320565500.000000,322812250.000000,328782000.000000,2823500.000000,0.880787,5.116583,no
adapter-db-classic9-conversion,DECIMAL-L1-conversion,crexx,adapter,D1b-db-qualified,D,no,steady-adapter,6000000,elapsed_ns,10,1036731000.000000,1039208250.000000,1041195000.000000,1042120750.000000,1053991000.000000,1703500.000000,0.163610,1.657711,no
adapter-mc-common18-compare,DECIMAL-L1-compare,crexx,adapter,D0-mc-current,D,no,steady-adapter,50000000,elapsed_ns,10,1162435000.000000,1201952750.000000,1220973500.000000,1226201750.000000,1233106000.000000,10899500.000000,0.892689,5.788086,no
adapter-db-common18-compare,DECIMAL-L1-compare,crexx,adapter,D1a-db-diagnostic,D,no,steady-adapter,50000000,elapsed_ns,10,1271988000.000000,1289487500.000000,1303855500.000000,1320897250.000000,1328567000.000000,16977500.000000,1.302100,4.339361,no
adapter-mc-classic9-compare,DECIMAL-L1-compare,crexx,adapter,D0-mc-current,D,no,steady-adapter,50000000,elapsed_ns,10,1158380000.000000,1190179500.000000,1210481500.000000,1234742250.000000,1273553000.000000,24720000.000000,2.042163,9.514644,no
adapter-db-classic9-compare,DECIMAL-L1-compare,crexx,adapter,D1b-db-qualified,D,no,steady-adapter,50000000,elapsed_ns,10,1263399000.000000,1265632250.000000,1269740500.000000,1282325000.000000,1371329000.000000,5004500.000000,0.394136,8.500162,no
adapter-mc-common18-copy-clear,DECIMAL-L1-copy-clear,crexx,adapter,D0-mc-current,D,no,steady-adapter,60000000,elapsed_ns,10,1344527000.000000,1359845250.000000,1368440000.000000,1382568750.000000,1417988000.000000,13202500.000000,0.964785,5.368230,no
adapter-db-common18-copy-clear,DECIMAL-L1-copy-clear,crexx,adapter,D1a-db-diagnostic,D,no,steady-adapter,60000000,elapsed_ns,10,1248223000.000000,1258921750.000000,1270855000.000000,1283153250.000000,1299228000.000000,14769500.000000,1.162170,4.013440,no
adapter-mc-classic9-copy-clear,DECIMAL-L1-copy-clear,crexx,adapter,D0-mc-current,D,no,steady-adapter,60000000,elapsed_ns,10,1353459000.000000,1356557500.000000,1364793000.000000,1370855750.000000,1385690000.000000,8217000.000000,0.602069,2.361604,no
adapter-db-classic9-copy-clear,DECIMAL-L1-copy-clear,crexx,adapter,D1b-db-qualified,D,no,steady-adapter,60000000,elapsed_ns,10,1237991000.000000,1259353250.000000,1271583500.000000,1289328500.000000,1304220000.000000,13642500.000000,1.072875,5.208388,no
adapter-mc-common18-sync,DECIMAL-L1-sync,crexx,adapter,D0-mc-current,D,no,steady-adapter,1000000000,elapsed_ns,10,1313210000.000000,1333229500.000000,1339109500.000000,1357597000.000000,1416055000.000000,10407000.000000,0.777158,7.680104,no
adapter-db-common18-sync,DECIMAL-L1-sync,crexx,adapter,D1a-db-diagnostic,D,no,steady-adapter,1000000000,elapsed_ns,10,1023183000.000000,1047951750.000000,1092437000.000000,1121631000.000000,1170741000.000000,43180500.000000,3.952676,13.507232,yes
adapter-mc-classic9-sync,DECIMAL-L1-sync,crexx,adapter,D0-mc-current,D,no,steady-adapter,1000000000,elapsed_ns,10,1316646000.000000,1332276750.000000,1368573000.000000,1402058000.000000,1416093000.000000,36550500.000000,2.670702,7.266474,no
adapter-db-classic9-sync,DECIMAL-L1-sync,crexx,adapter,D1b-db-qualified,D,no,steady-adapter,1000000000,elapsed_ns,10,1030172000.000000,1051355750.000000,1085377500.000000,1133298250.000000,1180221000.000000,44603000.000000,4.109446,13.824591,yes
