sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-DECIMAL-common18-compound-common18-compound-rxbvm-default-opt-recorded-1,timing,DECIMAL-common18-compound,common18-compound-rxbvm-default-opt,crexx,rxbvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,1,1,600000,1422529000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-default-opt-recorded-1,timing,DECIMAL-common18-compound,common18-compound-rxtvm-default-opt,crexx,rxtvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,1,2,600000,1439355000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-mc-opt-recorded-1,timing,DECIMAL-common18-compound,common18-compound-rxtvm-mc-opt,crexx,rxtvm-opt,D0d-dynamic-packaging-control,D,no,startup-included-steady-kernel,recorded,1,3,600000,1379621000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-db-opt-recorded-1,timing,DECIMAL-common18-compound,common18-compound-rxtvm-db-opt,crexx,rxtvm-opt,D1a-db-diagnostic,D,no,startup-included-steady-kernel,recorded,1,4,600000,2607445000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-db-opt-recorded-2,timing,DECIMAL-common18-compound,common18-compound-rxtvm-db-opt,crexx,rxtvm-opt,D1a-db-diagnostic,D,no,startup-included-steady-kernel,recorded,2,1,600000,2621651000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-mc-opt-recorded-2,timing,DECIMAL-common18-compound,common18-compound-rxtvm-mc-opt,crexx,rxtvm-opt,D0d-dynamic-packaging-control,D,no,startup-included-steady-kernel,recorded,2,2,600000,1374956000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-default-opt-recorded-2,timing,DECIMAL-common18-compound,common18-compound-rxtvm-default-opt,crexx,rxtvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,2,3,600000,1379129000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxbvm-default-opt-recorded-2,timing,DECIMAL-common18-compound,common18-compound-rxbvm-default-opt,crexx,rxbvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,2,4,600000,1372828000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-mc-opt-recorded-3,timing,DECIMAL-common18-compound,common18-compound-rxtvm-mc-opt,crexx,rxtvm-opt,D0d-dynamic-packaging-control,D,no,startup-included-steady-kernel,recorded,3,1,600000,1375952000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-db-opt-recorded-3,timing,DECIMAL-common18-compound,common18-compound-rxtvm-db-opt,crexx,rxtvm-opt,D1a-db-diagnostic,D,no,startup-included-steady-kernel,recorded,3,2,600000,2630156000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxbvm-default-opt-recorded-3,timing,DECIMAL-common18-compound,common18-compound-rxbvm-default-opt,crexx,rxbvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,3,3,600000,1415083000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-default-opt-recorded-3,timing,DECIMAL-common18-compound,common18-compound-rxtvm-default-opt,crexx,rxtvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,3,4,600000,1376389000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-default-opt-recorded-4,timing,DECIMAL-common18-compound,common18-compound-rxtvm-default-opt,crexx,rxtvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,4,1,600000,1379313000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxbvm-default-opt-recorded-4,timing,DECIMAL-common18-compound,common18-compound-rxbvm-default-opt,crexx,rxbvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,4,2,600000,1379142000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-db-opt-recorded-4,timing,DECIMAL-common18-compound,common18-compound-rxtvm-db-opt,crexx,rxtvm-opt,D1a-db-diagnostic,D,no,startup-included-steady-kernel,recorded,4,3,600000,2599925000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-mc-opt-recorded-4,timing,DECIMAL-common18-compound,common18-compound-rxtvm-mc-opt,crexx,rxtvm-opt,D0d-dynamic-packaging-control,D,no,startup-included-steady-kernel,recorded,4,4,600000,1358362000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxbvm-default-opt-recorded-5,timing,DECIMAL-common18-compound,common18-compound-rxbvm-default-opt,crexx,rxbvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,5,1,600000,1383289000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-default-opt-recorded-5,timing,DECIMAL-common18-compound,common18-compound-rxtvm-default-opt,crexx,rxtvm-opt,D0s-static-current,D,no,startup-included-steady-kernel,recorded,5,2,600000,1391523000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-mc-opt-recorded-5,timing,DECIMAL-common18-compound,common18-compound-rxtvm-mc-opt,crexx,rxtvm-opt,D0d-dynamic-packaging-control,D,no,startup-included-steady-kernel,recorded,5,3,600000,1391707000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-db-opt-recorded-5,timing,DECIMAL-common18-compound,common18-compound-rxtvm-db-opt,crexx,rxtvm-opt,D1a-db-diagnostic,D,no,startup-included-steady-kernel,recorded,5,4,600000,2619140000,,0,pass,,
timing-DECIMAL-common18-compound-common18-compound-rxtvm-db-opt-recorded-6,timing,DECIMAL-common18-compound,common18-compound-rxtvm-db-opt,crexx,rxtvm-opt,D1a-db-diagnostic,D,no,startup-included-steady-kernel,recorded,6,1,600000,2596923000,,0,pass,,
