sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-decnumber-common18-warmup-1,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-decnumber-common18,c,direct-core,D0-decNumber-3.68,D,no,steady-core,warmup,1,1,50000000,2667621000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-libmpdec-common18-warmup-1,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-libmpdec-common18,c,direct-core,D4-libmpdec-4.0.1-matched-capacity,D,no,steady-core,warmup,1,2,50000000,2928766000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-decnumber-common18-recorded-1,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-decnumber-common18,c,direct-core,D0-decNumber-3.68,D,no,steady-core,recorded,1,1,50000000,2252782000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-libmpdec-common18-recorded-1,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-libmpdec-common18,c,direct-core,D4-libmpdec-4.0.1-matched-capacity,D,no,steady-core,recorded,1,2,50000000,2964926000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-libmpdec-common18-recorded-2,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-libmpdec-common18,c,direct-core,D4-libmpdec-4.0.1-matched-capacity,D,no,steady-core,recorded,2,1,50000000,2934624000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-decnumber-common18-recorded-2,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-decnumber-common18,c,direct-core,D0-decNumber-3.68,D,no,steady-core,recorded,2,2,50000000,2280284000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-decnumber-common18-recorded-3,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-decnumber-common18,c,direct-core,D0-decNumber-3.68,D,no,steady-core,recorded,3,1,50000000,2328673000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-libmpdec-common18-recorded-3,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-libmpdec-common18,c,direct-core,D4-libmpdec-4.0.1-matched-capacity,D,no,steady-core,recorded,3,2,50000000,2882918000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-libmpdec-common18-recorded-4,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-libmpdec-common18,c,direct-core,D4-libmpdec-4.0.1-matched-capacity,D,no,steady-core,recorded,4,1,50000000,2936582000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-common18-mpd-capacity-core-decnumber-common18-recorded-4,timing,DECIMAL-MPD-capacity-core-common18,mpd-capacity-core-decnumber-common18,c,direct-core,D0-decNumber-3.68,D,no,steady-core,recorded,4,2,50000000,2304881000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-classic9-mpd-capacity-core-decnumber-classic9-warmup-1,timing,DECIMAL-MPD-capacity-core-classic9,mpd-capacity-core-decnumber-classic9,c,direct-core,D0-decNumber-3.68,D,no,steady-core,warmup,1,1,50000000,2945844000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-classic9-mpd-capacity-core-libmpdec-classic9-warmup-1,timing,DECIMAL-MPD-capacity-core-classic9,mpd-capacity-core-libmpdec-classic9,c,direct-core,D4-libmpdec-4.0.1-matched-capacity,D,no,steady-core,warmup,1,2,50000000,3056745000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-classic9-mpd-capacity-core-decnumber-classic9-recorded-1,timing,DECIMAL-MPD-capacity-core-classic9,mpd-capacity-core-decnumber-classic9,c,direct-core,D0-decNumber-3.68,D,no,steady-core,recorded,1,1,50000000,2949972000,,0,pass,,
timing-DECIMAL-MPD-capacity-core-classic9-mpd-capacity-core-libmpdec-classic9-recorded-1,timing,DECIMAL-MPD-capacity-core-classic9,mpd-capacity-core-libmpdec-classic9,c,direct-core,D4-libmpdec-4.0.1-matched-capacity,D,no,steady-core,recorded,1,2,50000000,2999877000,,0,pass,,
