sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-current-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-current-common18,crexx,adapter,D0-mc-current,D,no,steady-adapter,warmup,1,1,5000000,295547000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n18-b20-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n18-b20-common18,crexx,adapter,D2-decNumber-p3-n18-b20,D,no,steady-adapter,warmup,1,2,5000000,421496000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n18-b36-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n18-b36-common18,crexx,adapter,D2-decNumber-p3-n18-b36,D,no,steady-adapter,warmup,1,3,5000000,425273000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n18-b64-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n18-b64-common18,crexx,adapter,D2-decNumber-p3-n18-b64,D,no,steady-adapter,warmup,1,4,5000000,437983000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n18-b128-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n18-b128-common18,crexx,adapter,D2-decNumber-p3-n18-b128,D,no,steady-adapter,warmup,1,5,5000000,424945000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n34-b20-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n34-b20-common18,crexx,adapter,D2-decNumber-p3-n34-b20,D,no,steady-adapter,warmup,1,6,5000000,427751000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n34-b36-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n34-b36-common18,crexx,adapter,D2-decNumber-p3-n34-b36,D,no,steady-adapter,warmup,1,7,5000000,438195000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n34-b64-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n34-b64-common18,crexx,adapter,D2-decNumber-p3-n34-b64,D,no,steady-adapter,warmup,1,8,5000000,429981000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n34-b128-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n34-b128-common18,crexx,adapter,D2-decNumber-p3-n34-b128,D,no,steady-adapter,warmup,1,9,5000000,425621000,,0,pass,,
timing-DECIMAL-D2-cal-common18-arithmetic-d2-cal-p3-n64-b20-common18-warmup-1,timing,DECIMAL-D2-cal-common18-arithmetic,d2-cal-p3-n64-b20-common18,crexx,adapter,D2-decNumber-p3-n64-b20,D,no,steady-adapter,warmup,1,10,5000000,434150000,,0,pass,,
