sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Sieve-s4-sieve-rxtvm-recorded-1,timing,Sieve,s4-sieve-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,1,1,5500,1314030000,,0,pass,,
timing-Sieve-s4-sieve-rxbvm-recorded-1,timing,Sieve,s4-sieve-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,1,2,5500,1212740000,,0,pass,,
timing-Sieve-s4-sieve-rxbvm-recorded-2,timing,Sieve,s4-sieve-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,2,1,5500,1216597000,,0,pass,,
timing-Sieve-s4-sieve-rxtvm-recorded-2,timing,Sieve,s4-sieve-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,2,2,5500,1290261000,,0,pass,,
timing-Permute-s4-permute-rxtvm-recorded-1,timing,Permute,s4-permute-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,1,1,5000,1918526000,,0,pass,,
timing-Permute-s4-permute-rxbvm-recorded-1,timing,Permute,s4-permute-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,1,2,5000,1905220000,,0,pass,,
timing-Permute-s4-permute-rxbvm-recorded-2,timing,Permute,s4-permute-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,2,1,5000,1839898000,,0,pass,,
timing-Permute-s4-permute-rxtvm-recorded-2,timing,Permute,s4-permute-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,2,2,5000,1911530000,,0,pass,,
timing-Bounce-s4-bounce-rxtvm-recorded-1,timing,Bounce,s4-bounce-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,1,1,4200,1797424000,,0,pass,,
timing-Bounce-s4-bounce-rxbvm-recorded-1,timing,Bounce,s4-bounce-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,1,2,4200,1696574000,,0,pass,,
timing-Bounce-s4-bounce-rxbvm-recorded-2,timing,Bounce,s4-bounce-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,2,1,4200,1704847000,,0,pass,,
timing-Bounce-s4-bounce-rxtvm-recorded-2,timing,Bounce,s4-bounce-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,2,2,4200,1797316000,,0,pass,,
timing-Richards-s4-richards-rxtvm-recorded-1,timing,Richards,s4-richards-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,1,1,20,336699000,,0,pass,,
timing-Richards-s4-richards-rxbvm-recorded-1,timing,Richards,s4-richards-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,1,2,20,334943000,,0,pass,,
timing-Richards-s4-richards-rxbvm-recorded-2,timing,Richards,s4-richards-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,2,1,20,333436000,,0,pass,,
timing-Richards-s4-richards-rxtvm-recorded-2,timing,Richards,s4-richards-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,2,2,20,343178000,,0,pass,,
timing-Towers-s4-towers-rxtvm-recorded-1,timing,Towers,s4-towers-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,1,1,100,1760754000,,0,pass,,
timing-Towers-s4-towers-rxbvm-recorded-1,timing,Towers,s4-towers-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,1,2,100,1776432000,,0,pass,,
timing-Towers-s4-towers-rxbvm-recorded-2,timing,Towers,s4-towers-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,2,1,100,1781632000,,0,pass,,
timing-Towers-s4-towers-rxtvm-recorded-2,timing,Towers,s4-towers-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,2,2,100,1799873000,,0,pass,,
timing-Storage-s4-storage-rxtvm-recorded-1,timing,Storage,s4-storage-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,1,1,20,1362360000,,0,pass,,
timing-Storage-s4-storage-rxbvm-recorded-1,timing,Storage,s4-storage-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,1,2,20,1332171000,,0,pass,,
timing-Storage-s4-storage-rxbvm-recorded-2,timing,Storage,s4-storage-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,2,1,20,1339853000,,0,pass,,
timing-Storage-s4-storage-rxtvm-recorded-2,timing,Storage,s4-storage-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,2,2,20,1332741000,,0,pass,,
timing-List-s4-list-rxtvm-recorded-1,timing,List,s4-list-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,1,1,2000,1252381000,,0,pass,,
timing-List-s4-list-rxbvm-recorded-1,timing,List,s4-list-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,1,2,2000,1200003000,,0,pass,,
timing-List-s4-list-rxbvm-recorded-2,timing,List,s4-list-rxbvm,crexx,rxbvm,opt-calibration,calibration,no,no,recorded,2,1,2000,1196419000,,0,pass,,
timing-List-s4-list-rxtvm-recorded-2,timing,List,s4-list-rxtvm,crexx,rxtvm,opt-calibration,calibration,no,no,recorded,2,2,2000,1230006000,,0,pass,,
