sample_id,stream,line_number,text
timing-Sieve-s5-sieve-rxtvm-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxtvm-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxbvm-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxbvm-warmup-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-oorexx-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-oorexx-warmup-1,stdout,2,PASS: AWFY Sieve Classic port
timing-Sieve-s5-sieve-netrexx-warmup-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-netrexx-warmup-1,stdout,2,PASS: AWFY Sieve NetRexx decimal port
timing-Sieve-s5-sieve-java-warmup-1,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-java-warmup-1,stdout,2,Sieve: iterations=1 runtime: 46802us
timing-Sieve-s5-sieve-java-warmup-1,stdout,3,Sieve: iterations=1 average: 46802us total: 46802us
timing-Sieve-s5-sieve-java-warmup-1,stdout,4,
timing-Sieve-s5-sieve-java-warmup-1,stdout,5,
timing-Sieve-s5-sieve-java-warmup-1,stdout,6,Total Runtime: 46802us
timing-Sieve-s5-sieve-python-warmup-1,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-python-warmup-1,stdout,2,Sieve: iterations=1 runtime: 1298828us
timing-Sieve-s5-sieve-python-warmup-1,stdout,3,Sieve: iterations=1 average: 1298828us total: 1298828us
timing-Sieve-s5-sieve-python-warmup-1,stdout,4,
timing-Sieve-s5-sieve-python-warmup-1,stdout,5,
timing-Sieve-s5-sieve-python-warmup-1,stdout,6,Total Runtime: 1298828us
timing-Sieve-s5-sieve-python-warmup-2,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-python-warmup-2,stdout,2,Sieve: iterations=1 runtime: 1334596us
timing-Sieve-s5-sieve-python-warmup-2,stdout,3,Sieve: iterations=1 average: 1334596us total: 1334596us
timing-Sieve-s5-sieve-python-warmup-2,stdout,4,
timing-Sieve-s5-sieve-python-warmup-2,stdout,5,
timing-Sieve-s5-sieve-python-warmup-2,stdout,6,Total Runtime: 1334596us
timing-Sieve-s5-sieve-java-warmup-2,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-java-warmup-2,stdout,2,Sieve: iterations=1 runtime: 46213us
timing-Sieve-s5-sieve-java-warmup-2,stdout,3,Sieve: iterations=1 average: 46213us total: 46213us
timing-Sieve-s5-sieve-java-warmup-2,stdout,4,
timing-Sieve-s5-sieve-java-warmup-2,stdout,5,
timing-Sieve-s5-sieve-java-warmup-2,stdout,6,Total Runtime: 46213us
timing-Sieve-s5-sieve-netrexx-warmup-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-netrexx-warmup-2,stdout,2,PASS: AWFY Sieve NetRexx decimal port
timing-Sieve-s5-sieve-oorexx-warmup-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-oorexx-warmup-2,stdout,2,PASS: AWFY Sieve Classic port
timing-Sieve-s5-sieve-rxbvm-warmup-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxbvm-warmup-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxtvm-warmup-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxtvm-warmup-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxtvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxtvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxbvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxbvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-oorexx-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-oorexx-recorded-1,stdout,2,PASS: AWFY Sieve Classic port
timing-Sieve-s5-sieve-netrexx-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-netrexx-recorded-1,stdout,2,PASS: AWFY Sieve NetRexx decimal port
timing-Sieve-s5-sieve-java-recorded-1,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-java-recorded-1,stdout,2,Sieve: iterations=1 runtime: 46334us
timing-Sieve-s5-sieve-java-recorded-1,stdout,3,Sieve: iterations=1 average: 46334us total: 46334us
timing-Sieve-s5-sieve-java-recorded-1,stdout,4,
timing-Sieve-s5-sieve-java-recorded-1,stdout,5,
timing-Sieve-s5-sieve-java-recorded-1,stdout,6,Total Runtime: 46334us
timing-Sieve-s5-sieve-python-recorded-1,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-python-recorded-1,stdout,2,Sieve: iterations=1 runtime: 1357132us
timing-Sieve-s5-sieve-python-recorded-1,stdout,3,Sieve: iterations=1 average: 1357132us total: 1357132us
timing-Sieve-s5-sieve-python-recorded-1,stdout,4,
timing-Sieve-s5-sieve-python-recorded-1,stdout,5,
timing-Sieve-s5-sieve-python-recorded-1,stdout,6,Total Runtime: 1357132us
timing-Sieve-s5-sieve-python-recorded-2,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-python-recorded-2,stdout,2,Sieve: iterations=1 runtime: 1356967us
timing-Sieve-s5-sieve-python-recorded-2,stdout,3,Sieve: iterations=1 average: 1356967us total: 1356967us
timing-Sieve-s5-sieve-python-recorded-2,stdout,4,
timing-Sieve-s5-sieve-python-recorded-2,stdout,5,
timing-Sieve-s5-sieve-python-recorded-2,stdout,6,Total Runtime: 1356967us
timing-Sieve-s5-sieve-java-recorded-2,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-java-recorded-2,stdout,2,Sieve: iterations=1 runtime: 47757us
timing-Sieve-s5-sieve-java-recorded-2,stdout,3,Sieve: iterations=1 average: 47757us total: 47757us
timing-Sieve-s5-sieve-java-recorded-2,stdout,4,
timing-Sieve-s5-sieve-java-recorded-2,stdout,5,
timing-Sieve-s5-sieve-java-recorded-2,stdout,6,Total Runtime: 47757us
timing-Sieve-s5-sieve-netrexx-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-netrexx-recorded-2,stdout,2,PASS: AWFY Sieve NetRexx decimal port
timing-Sieve-s5-sieve-oorexx-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-oorexx-recorded-2,stdout,2,PASS: AWFY Sieve Classic port
timing-Sieve-s5-sieve-rxbvm-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxbvm-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxtvm-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxtvm-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-oorexx-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-oorexx-recorded-3,stdout,2,PASS: AWFY Sieve Classic port
timing-Sieve-s5-sieve-netrexx-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-netrexx-recorded-3,stdout,2,PASS: AWFY Sieve NetRexx decimal port
timing-Sieve-s5-sieve-java-recorded-3,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-java-recorded-3,stdout,2,Sieve: iterations=1 runtime: 45910us
timing-Sieve-s5-sieve-java-recorded-3,stdout,3,Sieve: iterations=1 average: 45910us total: 45910us
timing-Sieve-s5-sieve-java-recorded-3,stdout,4,
timing-Sieve-s5-sieve-java-recorded-3,stdout,5,
timing-Sieve-s5-sieve-java-recorded-3,stdout,6,Total Runtime: 45910us
timing-Sieve-s5-sieve-python-recorded-3,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-python-recorded-3,stdout,2,Sieve: iterations=1 runtime: 1371831us
timing-Sieve-s5-sieve-python-recorded-3,stdout,3,Sieve: iterations=1 average: 1371831us total: 1371831us
timing-Sieve-s5-sieve-python-recorded-3,stdout,4,
timing-Sieve-s5-sieve-python-recorded-3,stdout,5,
timing-Sieve-s5-sieve-python-recorded-3,stdout,6,Total Runtime: 1371831us
timing-Sieve-s5-sieve-rxtvm-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxtvm-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxbvm-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxbvm-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxbvm-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxbvm-recorded-4,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-rxtvm-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-rxtvm-recorded-4,stdout,2,PASS: AWFY Sieve
timing-Sieve-s5-sieve-python-recorded-4,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-python-recorded-4,stdout,2,Sieve: iterations=1 runtime: 1375282us
timing-Sieve-s5-sieve-python-recorded-4,stdout,3,Sieve: iterations=1 average: 1375282us total: 1375282us
timing-Sieve-s5-sieve-python-recorded-4,stdout,4,
timing-Sieve-s5-sieve-python-recorded-4,stdout,5,
timing-Sieve-s5-sieve-python-recorded-4,stdout,6,Total Runtime: 1375282us
timing-Sieve-s5-sieve-java-recorded-4,stdout,1,Starting Sieve benchmark ...
timing-Sieve-s5-sieve-java-recorded-4,stdout,2,Sieve: iterations=1 runtime: 45936us
timing-Sieve-s5-sieve-java-recorded-4,stdout,3,Sieve: iterations=1 average: 45936us total: 45936us
timing-Sieve-s5-sieve-java-recorded-4,stdout,4,
timing-Sieve-s5-sieve-java-recorded-4,stdout,5,
timing-Sieve-s5-sieve-java-recorded-4,stdout,6,Total Runtime: 45936us
timing-Sieve-s5-sieve-netrexx-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-s5-sieve-netrexx-recorded-4,stdout,2,PASS: AWFY Sieve NetRexx decimal port
