comparison,engine,workload,ratio_higher_is_better
crexx_vs_oorexx_common_five,rxtvm,Sieve,6.018210
crexx_vs_oorexx_common_five,rxtvm,Permute,8.322936
crexx_vs_oorexx_common_five,rxtvm,Bounce,2.448654
crexx_vs_oorexx_common_five,rxtvm,Richards,5.502892
crexx_vs_oorexx_common_five,rxtvm,Base64-v2,7.241797
crexx_vs_oorexx_common_five,rxtvm,geometric_mean,5.467915
crexx_vs_oorexx_common_five,rxbvm,Sieve,6.319881
crexx_vs_oorexx_common_five,rxbvm,Permute,8.467562
crexx_vs_oorexx_common_five,rxbvm,Bounce,2.525735
crexx_vs_oorexx_common_five,rxbvm,Richards,5.612664
crexx_vs_oorexx_common_five,rxbvm,Base64-v2,7.787765
crexx_vs_oorexx_common_five,rxbvm,geometric_mean,5.679203
crexx_vs_genuine_netrexx_common_four,rxtvm,Sieve,1.602608
crexx_vs_genuine_netrexx_common_four,rxtvm,Permute,0.540488
crexx_vs_genuine_netrexx_common_four,rxtvm,Bounce,1.073173
crexx_vs_genuine_netrexx_common_four,rxtvm,Richards,3.255862
crexx_vs_genuine_netrexx_common_four,rxtvm,geometric_mean,1.318977
crexx_vs_genuine_netrexx_common_four,rxbvm,Sieve,1.682941
crexx_vs_genuine_netrexx_common_four,rxbvm,Permute,0.549880
crexx_vs_genuine_netrexx_common_four,rxbvm,Bounce,1.106955
crexx_vs_genuine_netrexx_common_four,rxbvm,Richards,3.320810
crexx_vs_genuine_netrexx_common_four,rxbvm,geometric_mean,1.358087
crexx_vs_cpython_common_four,rxtvm,geometric_mean,1.214718
crexx_vs_cpython_common_four,rxbvm,geometric_mean,1.250737
rexxcps_rate_ratio,rxtvm,ooRexx,1.131377
rexxcps_rate_ratio,rxtvm,Regina,1.365297
rexxcps_rate_ratio,rxtvm,genuine-NetRexx,0.956087
rexxcps_rate_ratio,rxbvm,ooRexx,1.122749
rexxcps_rate_ratio,rxbvm,Regina,1.354885
rexxcps_rate_ratio,rxbvm,genuine-NetRexx,0.948796
