cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
s5-sieve-rxbvm,Sieve,crexx,rxbvm,equivalent-port,A,no,no,5500,elapsed_ns,10,1209428000.000000,1213667000.000000,1215340500.000000,1222983750.000000,1236364000.000000,3533500.000000,0.290742,2.216334,no
s5-sieve-java,Sieve,java,hotspot,canonical-awfy-pinned,control,no,no,5500,elapsed_ns,10,81625000.000000,82935000.000000,86539500.000000,87024250.000000,87904000.000000,1210500.000000,1.398783,7.255646,no
s5-permute-netrexx,Permute,netrexx,netrexx,decimal-rexx-port,A,no,no,5000,elapsed_ns,10,1044940000.000000,1049230000.000000,1054176500.000000,1055248750.000000,1068132000.000000,2502000.000000,0.237342,2.200011,no
s5-permute-java,Permute,java,hotspot,canonical-awfy-pinned,control,no,no,5000,elapsed_ns,10,91188000.000000,100293000.000000,102228500.000000,103283250.000000,121163000.000000,1436500.000000,1.405185,29.321569,yes
s5-bounce-java,Bounce,java,hotspot,canonical-awfy-pinned,control,no,no,4200,elapsed_ns,10,59292000.000000,61037000.000000,67762000.000000,68511500.000000,71437000.000000,3656500.000000,5.396092,17.923025,yes
s5-richards-rxbvm,Richards,crexx,rxbvm,common-state-machine,A,no,no,20,elapsed_ns,10,316417000.000000,318866000.000000,322654500.000000,327347750.000000,337241000.000000,4987500.000000,1.545771,6.453962,no
s5-richards-java,Richards,java,hotspot,canonical-awfy-pinned,control,no,no,20,elapsed_ns,10,44829000.000000,45907000.000000,52674500.000000,55388000.000000,58777000.000000,4911000.000000,9.323297,26.479606,yes
s5-towers-java,Towers,java,hotspot,canonical-awfy-pinned,control,no,no,100,elapsed_ns,10,38708000.000000,41732500.000000,44850500.000000,45737000.000000,45968000.000000,1103500.000000,2.460396,16.187111,yes
s5-towers-python,Towers,python,cpython,canonical-awfy-pinned,control,no,no,100,elapsed_ns,10,114481000.000000,117164250.000000,118878000.000000,120905500.000000,132108000.000000,2010000.000000,1.690809,14.827807,yes
s5-storage-oorexx,Storage,oorexx,oorexx,object-array-adaptation,B,no,no,20,elapsed_ns,10,45219000.000000,45892250.000000,48954000.000000,55415000.000000,59005000.000000,3723000.000000,7.605099,28.161131,yes
