sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
rss-Sieve-s5-sieve-rxtvm-recorded-1,rss,Sieve,s5-sieve-rxtvm,crexx,rxtvm,equivalent-port,A,no,no,recorded,1,1,5500,1288688000,17121280,0,pass,,
rss-Sieve-s5-sieve-rxbvm-recorded-1,rss,Sieve,s5-sieve-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,1,2,5500,1247789000,16973824,0,pass,,
rss-Sieve-s5-sieve-oorexx-recorded-1,rss,Sieve,s5-sieve-oorexx,oorexx,oorexx,equivalent-port,A,no,no,recorded,1,3,5500,7726676000,17874944,0,pass,,
rss-Sieve-s5-sieve-netrexx-recorded-1,rss,Sieve,s5-sieve-netrexx,netrexx,netrexx,decimal-rexx-port,A,no,no,recorded,1,4,5500,2068712000,428851200,0,pass,,
rss-Sieve-s5-sieve-java-recorded-1,rss,Sieve,s5-sieve-java,java,hotspot,canonical-awfy-pinned,control,no,no,recorded,1,5,5500,88526000,70369280,0,pass,,
rss-Sieve-s5-sieve-python-recorded-1,rss,Sieve,s5-sieve-python,python,cpython,canonical-awfy-pinned,control,no,no,recorded,1,6,5500,1325947000,15302656,0,pass,,
rss-Sieve-s5-sieve-python-recorded-2,rss,Sieve,s5-sieve-python,python,cpython,canonical-awfy-pinned,control,no,no,recorded,2,1,5500,1330348000,15319040,0,pass,,
rss-Sieve-s5-sieve-java-recorded-2,rss,Sieve,s5-sieve-java,java,hotspot,canonical-awfy-pinned,control,no,no,recorded,2,2,5500,84815000,70221824,0,pass,,
rss-Sieve-s5-sieve-netrexx-recorded-2,rss,Sieve,s5-sieve-netrexx,netrexx,netrexx,decimal-rexx-port,A,no,no,recorded,2,3,5500,2066065000,428736512,0,pass,,
rss-Sieve-s5-sieve-oorexx-recorded-2,rss,Sieve,s5-sieve-oorexx,oorexx,oorexx,equivalent-port,A,no,no,recorded,2,4,5500,7756356000,17874944,0,pass,,
rss-Sieve-s5-sieve-rxbvm-recorded-2,rss,Sieve,s5-sieve-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,2,5,5500,1217880000,17022976,0,pass,,
rss-Sieve-s5-sieve-rxtvm-recorded-2,rss,Sieve,s5-sieve-rxtvm,crexx,rxtvm,equivalent-port,A,no,no,recorded,2,6,5500,1273565000,17137664,0,pass,,
rss-Sieve-s5-sieve-oorexx-recorded-3,rss,Sieve,s5-sieve-oorexx,oorexx,oorexx,equivalent-port,A,no,no,recorded,3,1,5500,7783429000,17874944,0,pass,,
rss-Sieve-s5-sieve-netrexx-recorded-3,rss,Sieve,s5-sieve-netrexx,netrexx,netrexx,decimal-rexx-port,A,no,no,recorded,3,2,5500,2045399000,429064192,0,pass,,
rss-Sieve-s5-sieve-java-recorded-3,rss,Sieve,s5-sieve-java,java,hotspot,canonical-awfy-pinned,control,no,no,recorded,3,3,5500,89070000,70254592,0,pass,,
rss-Sieve-s5-sieve-python-recorded-3,rss,Sieve,s5-sieve-python,python,cpython,canonical-awfy-pinned,control,no,no,recorded,3,4,5500,1376477000,15319040,0,pass,,
rss-Sieve-s5-sieve-rxtvm-recorded-3,rss,Sieve,s5-sieve-rxtvm,crexx,rxtvm,equivalent-port,A,no,no,recorded,3,5,5500,1268213000,17137664,0,pass,,
rss-Sieve-s5-sieve-rxbvm-recorded-3,rss,Sieve,s5-sieve-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,3,6,5500,1219860000,17072128,0,pass,,
rss-Sieve-s5-sieve-rxbvm-recorded-4,rss,Sieve,s5-sieve-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,4,1,5500,1213625000,16990208,0,pass,,
rss-Sieve-s5-sieve-rxtvm-recorded-4,rss,Sieve,s5-sieve-rxtvm,crexx,rxtvm,equivalent-port,A,no,no,recorded,4,2,5500,1287100000,17137664,0,pass,,
rss-Sieve-s5-sieve-python-recorded-4,rss,Sieve,s5-sieve-python,python,cpython,canonical-awfy-pinned,control,no,no,recorded,4,3,5500,1379574000,15400960,0,pass,,
rss-Sieve-s5-sieve-java-recorded-4,rss,Sieve,s5-sieve-java,java,hotspot,canonical-awfy-pinned,control,no,no,recorded,4,4,5500,87625000,70172672,0,pass,,
rss-Sieve-s5-sieve-netrexx-recorded-4,rss,Sieve,s5-sieve-netrexx,netrexx,netrexx,decimal-rexx-port,A,no,no,recorded,4,5,5500,2056591000,428883968,0,pass,,
rss-Sieve-s5-sieve-oorexx-recorded-4,rss,Sieve,s5-sieve-oorexx,oorexx,oorexx,equivalent-port,A,no,no,recorded,4,6,5500,7723005000,17858560,0,pass,,
rss-Permute-s5-permute-rxtvm-recorded-1,rss,Permute,s5-permute-rxtvm,crexx,rxtvm,equivalent-port,A,no,no,recorded,1,1,5000,1950948000,15613952,0,pass,,
rss-Permute-s5-permute-rxbvm-recorded-1,rss,Permute,s5-permute-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,1,2,5000,1848892000,15450112,0,pass,,
rss-Permute-s5-permute-oorexx-recorded-1,rss,Permute,s5-permute-oorexx,oorexx,oorexx,equivalent-port,A,no,no,recorded,1,3,5000,16127292000,17874944,0,pass,,
rss-Permute-s5-permute-netrexx-recorded-1,rss,Permute,s5-permute-netrexx,netrexx,netrexx,decimal-rexx-port,A,no,no,recorded,1,4,5000,1085655000,440958976,0,pass,,
