cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
s5-sieve-rxtvm,Sieve,crexx,rxtvm,equivalent-port,A,no,no,5500,max_rss_bytes,4,17121280.000000,17133568.000000,17137664.000000,17137664.000000,17137664.000000,0.000000,0.000000,0.095602,no
s5-sieve-rxbvm,Sieve,crexx,rxbvm,equivalent-port,A,no,no,5500,max_rss_bytes,4,16973824.000000,16986112.000000,17006592.000000,17035264.000000,17072128.000000,24576.000000,0.144509,0.578035,no
s5-sieve-oorexx,Sieve,oorexx,oorexx,equivalent-port,A,no,no,5500,max_rss_bytes,4,17858560.000000,17870848.000000,17874944.000000,17874944.000000,17874944.000000,0.000000,0.000000,0.091659,no
s5-sieve-netrexx,Sieve,netrexx,netrexx,decimal-rexx-port,A,no,no,5500,max_rss_bytes,4,428736512.000000,428822528.000000,428867584.000000,428929024.000000,429064192.000000,73728.000000,0.017191,0.076406,no
s5-sieve-java,Sieve,java,hotspot,canonical-awfy-pinned,control,no,no,5500,max_rss_bytes,4,70172672.000000,70209536.000000,70238208.000000,70283264.000000,70369280.000000,40960.000000,0.058316,0.279916,no
s5-sieve-python,Sieve,python,cpython,canonical-awfy-pinned,control,no,no,5500,max_rss_bytes,4,15302656.000000,15314944.000000,15319040.000000,15339520.000000,15400960.000000,8192.000000,0.053476,0.641711,no
s5-permute-rxtvm,Permute,crexx,rxtvm,equivalent-port,A,no,no,5000,max_rss_bytes,4,15499264.000000,15560704.000000,15597568.000000,15618048.000000,15630336.000000,24576.000000,0.157563,0.840336,no
s5-permute-rxbvm,Permute,crexx,rxbvm,equivalent-port,A,no,no,5000,max_rss_bytes,4,15400960.000000,15413248.000000,15433728.000000,15454208.000000,15466496.000000,24576.000000,0.159236,0.424628,no
s5-permute-oorexx,Permute,oorexx,oorexx,equivalent-port,A,no,no,5000,max_rss_bytes,4,17874944.000000,17874944.000000,17874944.000000,17874944.000000,17874944.000000,0.000000,0.000000,0.000000,no
s5-permute-netrexx,Permute,netrexx,netrexx,decimal-rexx-port,A,no,no,5000,max_rss_bytes,4,179257344.000000,375533568.000000,441196544.000000,441466880.000000,441565184.000000,303104.000000,0.068700,59.453739,yes
s5-permute-java,Permute,java,hotspot,canonical-awfy-pinned,control,no,no,5000,max_rss_bytes,4,49168384.000000,49180672.000000,49201152.000000,49258496.000000,49381376.000000,24576.000000,0.049950,0.432900,no
s5-permute-python,Permute,python,cpython,canonical-awfy-pinned,control,no,no,5000,max_rss_bytes,4,15335424.000000,15347712.000000,15368192.000000,15396864.000000,15433728.000000,24576.000000,0.159915,0.639659,no
s5-bounce-rxtvm,Bounce,crexx,rxtvm,equivalent-port,A,no,no,4200,max_rss_bytes,4,15876096.000000,15888384.000000,15900672.000000,15917056.000000,15941632.000000,16384.000000,0.103040,0.412159,no
s5-bounce-rxbvm,Bounce,crexx,rxbvm,equivalent-port,A,no,no,4200,max_rss_bytes,4,15646720.000000,15695872.000000,15712256.000000,15724544.000000,15761408.000000,24576.000000,0.156413,0.729927,no
s5-bounce-oorexx,Bounce,oorexx,oorexx,equivalent-object-port,A,no,no,4200,max_rss_bytes,4,17891328.000000,17891328.000000,17891328.000000,17891328.000000,17891328.000000,0.000000,0.000000,0.000000,no
s5-bounce-netrexx,Bounce,netrexx,netrexx,decimal-object-port,A,no,no,4200,max_rss_bytes,4,174309376.000000,174370816.000000,174399488.000000,174440448.000000,174538752.000000,49152.000000,0.028184,0.131523,no
s5-bounce-java,Bounce,java,hotspot,canonical-awfy-pinned,control,no,no,4200,max_rss_bytes,4,56410112.000000,56446976.000000,56467456.000000,56500224.000000,56573952.000000,32768.000000,0.058030,0.290149,no
s5-bounce-python,Bounce,python,cpython,canonical-awfy-pinned,control,no,no,4200,max_rss_bytes,4,15302656.000000,15327232.000000,15368192.000000,15400960.000000,15400960.000000,32768.000000,0.213220,0.639659,no
s5-richards-rxtvm,Richards,crexx,rxtvm,common-state-machine,A,no,no,20,max_rss_bytes,4,16007168.000000,16019456.000000,16023552.000000,16023552.000000,16023552.000000,0.000000,0.000000,0.102249,no
s5-richards-rxbvm,Richards,crexx,rxbvm,common-state-machine,A,no,no,20,max_rss_bytes,4,15826944.000000,15851520.000000,15867904.000000,15880192.000000,15892480.000000,16384.000000,0.103252,0.413010,no
s5-richards-oorexx,Richards,oorexx,oorexx,common-state-machine,A,no,no,20,max_rss_bytes,4,17907712.000000,17920000.000000,17924096.000000,17924096.000000,17924096.000000,0.000000,0.000000,0.091408,no
s5-richards-netrexx,Richards,netrexx,netrexx,decimal-state-machine,A,no,no,20,max_rss_bytes,4,201801728.000000,203472896.000000,204046336.000000,204431360.000000,205537280.000000,753664.000000,0.369359,1.830737,no
s5-richards-java,Richards,java,hotspot,canonical-awfy-pinned,control,no,no,20,max_rss_bytes,4,49332224.000000,49405952.000000,49455104.000000,49520640.000000,49643520.000000,73728.000000,0.149081,0.629452,no
s5-richards-python,Richards,python,cpython,canonical-awfy-pinned,control,no,no,20,max_rss_bytes,4,15400960.000000,15437824.000000,15474688.000000,15511552.000000,15548416.000000,49152.000000,0.317628,0.952885,no
s5-towers-rxtvm,Towers,crexx,rxtvm,equivalent-object-port,B,no,no,100,max_rss_bytes,4,15892480.000000,15953920.000000,15982592.000000,15998976.000000,16023552.000000,24576.000000,0.153767,0.820092,no
s5-towers-rxbvm,Towers,crexx,rxbvm,equivalent-object-port,B,no,no,100,max_rss_bytes,4,15826944.000000,15839232.000000,15859712.000000,15876096.000000,15876096.000000,16384.000000,0.103306,0.309917,no
s5-towers-oorexx,Towers,oorexx,oorexx,equivalent-object-port,B,no,no,100,max_rss_bytes,4,17907712.000000,17907712.000000,17907712.000000,17907712.000000,17907712.000000,0.000000,0.000000,0.000000,no
s5-towers-java,Towers,java,hotspot,canonical-awfy-pinned,control,no,no,100,max_rss_bytes,4,49364992.000000,49389568.000000,49455104.000000,49545216.000000,49643520.000000,73728.000000,0.149081,0.563194,no
s5-towers-python,Towers,python,cpython,canonical-awfy-pinned,control,no,no,100,max_rss_bytes,4,15269888.000000,15294464.000000,15351808.000000,15413248.000000,15450112.000000,65536.000000,0.426894,1.173959,no
s5-storage-rxtvm,Storage,crexx,rxtvm,disclosed-wrapper-control,B,no,no,20,max_rss_bytes,4,207454208.000000,207577088.000000,208191488.000000,208990208.000000,209666048.000000,655360.000000,0.314787,1.062407,no
s5-storage-rxbvm,Storage,crexx,rxbvm,disclosed-wrapper-control,B,no,no,20,max_rss_bytes,4,207306752.000000,207736832.000000,208035840.000000,210362368.000000,216875008.000000,442368.000000,0.212640,4.599331,no
s5-storage-oorexx,Storage,oorexx,oorexx,object-array-adaptation,B,no,no,20,max_rss_bytes,4,17891328.000000,17903616.000000,17907712.000000,17907712.000000,17907712.000000,0.000000,0.000000,0.091491,no
s5-storage-java,Storage,java,hotspot,canonical-awfy-pinned,control,no,no,20,max_rss_bytes,4,53362688.000000,54628352.000000,55181312.000000,55336960.000000,55410688.000000,180224.000000,0.326603,3.711401,no
s5-storage-python,Storage,python,cpython,canonical-awfy-pinned,control,no,no,20,max_rss_bytes,4,15859712.000000,15872000.000000,15900672.000000,15941632.000000,15990784.000000,32768.000000,0.206079,0.824317,no
s5-list-rxtvm,List,crexx,rxtvm,disclosed-arena-control,B,no,no,2000,max_rss_bytes,4,15958016.000000,15970304.000000,15974400.000000,15982592.000000,16007168.000000,8192.000000,0.051282,0.307692,no
s5-list-rxbvm,List,crexx,rxbvm,disclosed-arena-control,B,no,no,2000,max_rss_bytes,4,15777792.000000,15790080.000000,15802368.000000,15810560.000000,15810560.000000,8192.000000,0.051840,0.207361,no
s5-list-oorexx,List,oorexx,oorexx,object-port,B,no,no,2000,max_rss_bytes,4,17907712.000000,17907712.000000,17907712.000000,17907712.000000,17907712.000000,0.000000,0.000000,0.000000,no
s5-list-java,List,java,hotspot,canonical-awfy-pinned,control,no,no,2000,max_rss_bytes,4,50446336.000000,50483200.000000,50528256.000000,50577408.000000,50626560.000000,57344.000000,0.113489,0.356680,no
s5-list-python,List,python,cpython,canonical-awfy-pinned,control,no,no,2000,max_rss_bytes,4,15302656.000000,15364096.000000,15392768.000000,15409152.000000,15433728.000000,24576.000000,0.159659,0.851517,no
s5-mandelbrot-rxtvm,Mandelbrot,crexx,rxtvm,canonical-size-500,B,no,no,500,max_rss_bytes,4,15564800.000000,15577088.000000,15581184.000000,15589376.000000,15613952.000000,8192.000000,0.052576,0.315457,no
s5-mandelbrot-rxbvm,Mandelbrot,crexx,rxbvm,canonical-size-500,B,no,no,500,max_rss_bytes,4,15400960.000000,15425536.000000,15433728.000000,15437824.000000,15450112.000000,8192.000000,0.053079,0.318471,no
s5-mandelbrot-java,Mandelbrot,java,hotspot,canonical-awfy-pinned,control,no,no,size-500,max_rss_bytes,4,45891584.000000,48177152.000000,48955392.000000,48988160.000000,49037312.000000,49152.000000,0.100402,6.425703,no
s5-mandelbrot-python,Mandelbrot,python,cpython,canonical-awfy-pinned,control,no,no,size-500,max_rss_bytes,4,15368192.000000,15380480.000000,15392768.000000,15405056.000000,15417344.000000,16384.000000,0.106440,0.319319,no
s5-json-rxtvm,Json,crexx,rxtvm,standard-library-indexed-document,B,no,no,10,max_rss_bytes,4,17399808.000000,17436672.000000,17457152.000000,17473536.000000,17498112.000000,24576.000000,0.140779,0.563116,no
s5-json-rxbvm,Json,crexx,rxbvm,standard-library-indexed-document,B,no,no,10,max_rss_bytes,4,17301504.000000,17326080.000000,17350656.000000,17367040.000000,17367040.000000,16384.000000,0.094429,0.377715,no
s5-json-oorexx,Json,oorexx,oorexx,standard-library-dom,B,no,no,10,max_rss_bytes,4,18022400.000000,18022400.000000,18022400.000000,18022400.000000,18022400.000000,0.000000,0.000000,0.000000,no
s5-json-java,Json,java,hotspot,canonical-awfy-pinned,control,no,no,10-fixtures,max_rss_bytes,4,68534272.000000,68644864.000000,68747264.000000,69738496.000000,72515584.000000,139264.000000,0.202574,5.791230,no
s5-json-python,Json,python,cpython,canonical-awfy-pinned,control,no,no,10-fixtures,max_rss_bytes,4,16056320.000000,16068608.000000,16105472.000000,16142336.000000,16154624.000000,40960.000000,0.254323,0.610376,no
s5-deltablue-rxtvm,DeltaBlue,crexx,rxtvm,stable-indexed-constraint-graph,B,no,no,500,max_rss_bytes,4,43581440.000000,43593728.000000,43606016.000000,43618304.000000,43630592.000000,16384.000000,0.037573,0.112718,no
s5-deltablue-rxbvm,DeltaBlue,crexx,rxbvm,stable-indexed-constraint-graph,B,no,no,500,max_rss_bytes,4,43384832.000000,43409408.000000,43433984.000000,43450368.000000,43450368.000000,16384.000000,0.037722,0.150886,no
s5-deltablue-java,DeltaBlue,java,hotspot,canonical-awfy-pinned,control,no,no,500,max_rss_bytes,4,55296000.000000,55345152.000000,55361536.000000,55562240.000000,56164352.000000,32768.000000,0.059189,1.568511,no
s5-deltablue-python,DeltaBlue,python,cpython,canonical-awfy-pinned,control,no,no,500,max_rss_bytes,4,16121856.000000,16146432.000000,16171008.000000,16191488.000000,16203776.000000,24576.000000,0.151976,0.506586,no
s5-cd-rxtvm,CD,crexx,rxtvm,indexed-red-black-tree-native-math,B,no,no,100,max_rss_bytes,4,28229632.000000,28254208.000000,28270592.000000,28282880.000000,28295168.000000,16384.000000,0.057954,0.231817,no
s5-cd-rxbvm,CD,crexx,rxbvm,indexed-red-black-tree-native-math,B,no,no,100,max_rss_bytes,4,27983872.000000,28033024.000000,28049408.000000,28061696.000000,28098560.000000,24576.000000,0.087617,0.408879,no
