phase,round,vm,variant,int_direct_read_us,int_accessor_read_us,int_direct_write_us,int_accessor_write_us,float_direct_read_us,float_accessor_read_us,float_direct_write_us,float_accessor_write_us,i64_direct_read_us,i64_accessor_read_us,i64_direct_write_us,i64_accessor_write_us,f32_direct_read_us,f32_accessor_read_us,f32_direct_write_us,f32_accessor_write_us,int_checksum,i64_checksum,result
initial,1,rxbvm,base,4027,5696,3041,3470,3664,11048,8828,28142,11367,34072,10094,24963,11373,34049,19836,31867,7000000,50000500000,pass
initial,1,rxbvm,current,4660,5729,3198,3719,3644,10975,8860,19052,11356,34159,10087,24713,12043,34281,19475,31677,7000000,50000500000,pass
initial,1,rxbvm,preguard,4163,6511,3152,4072,3759,11275,8852,18919,11216,34033,10490,24760,11275,34273,19497,31977,7000000,50000500000,pass
initial,1,rxtvm,base,4704,6805,3714,3551,3624,12797,9898,31896,12722,37475,12256,27043,13790,35980,22158,33961,7000000,50000500000,pass
initial,1,rxtvm,current,4027,5679,3422,3630,3716,12940,9755,20563,12857,36220,12408,25929,13840,35980,22005,33931,7000000,50000500000,pass
initial,1,rxtvm,preguard,4011,6319,3984,4490,3831,13059,10441,19807,13043,36406,12522,25918,13468,36117,22146,32899,7000000,50000500000,pass
initial,2,rxbvm,base,4004,5786,3100,3470,3528,11084,8668,28215,11104,34105,10097,24918,11341,33974,20044,31779,7000000,50000500000,pass
initial,2,rxbvm,current,4079,5937,3141,3660,3691,10683,8681,18144,11106,34443,10519,24266,11736,34427,19614,31192,7000000,50000500000,pass
initial,2,rxbvm,preguard,4046,6228,3158,4266,3747,11306,8858,18817,11232,34263,10053,24649,11622,34343,20238,31680,7000000,50000500000,pass
initial,2,rxtvm,base,4986,6202,4022,4171,3734,13023,9934,32603,13205,36316,12232,26873,13541,36680,21872,33444,7000000,50000500000,pass
initial,2,rxtvm,current,4338,5700,3732,3713,3990,12818,10018,20463,13180,36242,12281,26322,13831,36096,22035,34293,7000000,50000500000,pass
initial,2,rxtvm,preguard,3907,6886,3489,4631,3834,13018,10124,19904,12846,36743,12585,25726,13848,36157,22090,33517,7000000,50000500000,pass
initial,3,rxbvm,base,4321,5786,3038,3477,3584,11003,8758,28126,11138,33988,10038,25034,11278,33958,20202,31796,7000000,50000500000,pass
initial,3,rxbvm,current,4114,5784,3153,3533,3808,11049,8835,19074,11129,33912,10268,24930,11998,34342,19939,31855,7000000,50000500000,pass
initial,3,rxbvm,preguard,3977,6261,3151,4181,3782,11118,9073,17933,10953,34391,10467,24624,11350,34110,19559,31200,7000000,50000500000,pass
initial,3,rxtvm,base,4149,5856,3384,3520,3625,12823,10232,31721,12637,36070,12182,26711,13844,35856,21707,33714,7000000,50000500000,pass
initial,3,rxtvm,current,4258,5702,3968,4183,3969,12902,9688,20326,13030,38281,12344,26102,13785,36910,22083,33523,7000000,50000500000,pass
