sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-warmup-1,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,warmup,1,1,100000-iterations,1126502000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-warmup-1,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,warmup,1,2,100000-iterations,1116609000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-1,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,1,1,100000-iterations,1130777000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-1,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,1,2,100000-iterations,1105792000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-2,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,2,1,100000-iterations,1118520000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-2,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,2,2,100000-iterations,1120165000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-3,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,3,1,100000-iterations,1127871000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-3,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,3,2,100000-iterations,1122047000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-4,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,4,1,100000-iterations,1126125000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-4,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,4,2,100000-iterations,1135024000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-5,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,5,1,100000-iterations,1129939000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-5,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,5,2,100000-iterations,1124940000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-6,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,6,1,100000-iterations,1119930000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-6,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,6,2,100000-iterations,1134923000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-7,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,7,1,100000-iterations,1146551000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-7,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,7,2,100000-iterations,1118388000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-8,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,8,1,100000-iterations,1121564000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-8,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,8,2,100000-iterations,1135011000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-9,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,9,1,100000-iterations,1142207000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-9,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,9,2,100000-iterations,1121460000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-10,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,10,1,100000-iterations,1111170000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-10,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,10,2,100000-iterations,1138216000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-control-recorded-11,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-control,crexx,rxbvm,control-fixed-tiers,A,no,startup-included,recorded,11,1,100000-iterations,1131609000,,0,pass,,
timing-Decimal-steady-9-rxbvm-steady-9-rxbvm-candidate-recorded-11,timing,Decimal-steady-9-rxbvm,steady-9-rxbvm-candidate,crexx,rxbvm,candidate-dynamic-precision,A,no,startup-included,recorded,11,2,100000-iterations,1114910000,,0,pass,,
