sample_id,stream,line_number,text
timing-RCC5DE-rxstats-256x4000-rxbvm-rxstats-legacy-warmup-1,stdout,1,benchmark=rcc5de_rxstats variant=legacy observations=256 iterations=4000 offset=0 elapsed_us=376575 calls_per_second=42488.2161587997 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxbvm-rxstats-candidate-warmup-1,stdout,1,benchmark=rcc5de_rxstats variant=candidate observations=256 iterations=4000 offset=0 elapsed_us=368106 calls_per_second=43465.7408463866 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxtvm-rxstats-legacy-warmup-1,stdout,1,benchmark=rcc5de_rxstats variant=legacy observations=256 iterations=4000 offset=0 elapsed_us=380197 calls_per_second=42083.4462134104 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxtvm-rxstats-candidate-warmup-1,stdout,1,benchmark=rcc5de_rxstats variant=candidate observations=256 iterations=4000 offset=0 elapsed_us=374139 calls_per_second=42764.854773226 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxtvm-rxstats-candidate-warmup-2,stdout,1,benchmark=rcc5de_rxstats variant=candidate observations=256 iterations=4000 offset=0 elapsed_us=379327 calls_per_second=42179.9660978523 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxtvm-rxstats-legacy-warmup-2,stdout,1,benchmark=rcc5de_rxstats variant=legacy observations=256 iterations=4000 offset=0 elapsed_us=387741 calls_per_second=41264.6586252163 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxbvm-rxstats-candidate-warmup-2,stdout,1,benchmark=rcc5de_rxstats variant=candidate observations=256 iterations=4000 offset=0 elapsed_us=367853 calls_per_second=43495.6354848268 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxbvm-rxstats-legacy-warmup-2,stdout,1,benchmark=rcc5de_rxstats variant=legacy observations=256 iterations=4000 offset=0 elapsed_us=375412 calls_per_second=42619.8416672882 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxbvm-rxstats-legacy-recorded-1,stdout,1,benchmark=rcc5de_rxstats variant=legacy observations=256 iterations=4000 offset=0 elapsed_us=379388 calls_per_second=42173.1841808386 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxbvm-rxstats-candidate-recorded-1,stdout,1,benchmark=rcc5de_rxstats variant=candidate observations=256 iterations=4000 offset=0 elapsed_us=373556 calls_per_second=42831.5968690103 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5DE-rxstats-256x4000-rxtvm-rxstats-legacy-recorded-1,stdout,1,benchmark=rcc5de_rxstats variant=legacy observations=256 iterations=4000 offset=0 elapsed_us=382155 calls_per_second=41867.8284989075 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
