sample_id,stream,line_number,text
timing-RCC5F-rxstats-256x4000-rxtvm-boxed-warmup-1,stdout,1,benchmark=rcc5f_rxstats variant=boxed observations=256 iterations=4000 offset=0 elapsed_us=374825 calls_per_second=42686.5870739678 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5F-rxstats-256x4000-rxtvm-boxed-warmup-1,stdout,2,PASS: RCC-5F boxed statistics oracle workload
timing-RCC5F-rxstats-256x4000-rxtvm-packed-warmup-1,stdout,1,benchmark=rcc5f_rxstats variant=packed observations=256 iterations=4000 offset=0 elapsed_us=17242 calls_per_second=927966.593202645 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5F-rxstats-256x4000-rxtvm-packed-warmup-1,stdout,2,PASS: RCC-5F packed statistics workload
timing-RCC5F-rxstats-256x4000-rxtvm-direct-warmup-1,stdout,1,benchmark=rcc5f_rxstats variant=direct observations=256 iterations=4000 offset=0 elapsed_us=15311 calls_per_second=1045000.3265626 checksum=346572.715603584
timing-RCC5F-rxstats-256x4000-rxtvm-direct-warmup-1,stdout,2,PASS: RCC-5F direct statistics control
timing-RCC5F-rxstats-256x4000-rxtvm-direct-warmup-2,stdout,1,benchmark=rcc5f_rxstats variant=direct observations=256 iterations=4000 offset=0 elapsed_us=15503 calls_per_second=1032058.31129459 checksum=346572.715603584
timing-RCC5F-rxstats-256x4000-rxtvm-direct-warmup-2,stdout,2,PASS: RCC-5F direct statistics control
timing-RCC5F-rxstats-256x4000-rxtvm-packed-warmup-2,stdout,1,benchmark=rcc5f_rxstats variant=packed observations=256 iterations=4000 offset=0 elapsed_us=18439 calls_per_second=867726.015510602 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
timing-RCC5F-rxstats-256x4000-rxtvm-packed-warmup-2,stdout,2,PASS: RCC-5F packed statistics workload
timing-RCC5F-rxstats-256x4000-rxtvm-boxed-warmup-2,stdout,1,benchmark=rcc5f_rxstats variant=boxed observations=256 iterations=4000 offset=0 elapsed_us=368528 calls_per_second=43415.968393175 mean=7.96875 stddev=4.92442890089805 covariance=72.75 correlation=1 checksum=346572.715603584
