member,baseline_elapsed_s,candidate_elapsed_s,baseline_user_s,candidate_user_s,baseline_maxrss_bytes,candidate_maxrss_bytes
architecture_local_config,11.4,7.23,11.29,7.18,267386880,256589824
codex_provider,12.14,19.76,11.29,11.74,301531136,272760832
crexxrag_cli,172.91,25.9,164.27,17.72,415907840,416940032
generic_profile,11.71,7.4,11.61,7.35,257720320,253853696
industrial_provider,15.21,19.6,12.85,11.62,296435712,250249216
it_architecture_profile,8.68,9.78,8.62,9.44,254492672,261996544
operator_registry,8.32,10.54,8.25,10.19,265060352,265371648
provider_catalog,17.46,14.76,11.81,11.19,252461056,252395520
provider_contract,15.89,17.67,13.5,10.2,257900544,236552192
provider_http,18.69,14.7,12.78,11.03,257982464,249135104
ragapplicationprovider,10.5,9.98,10.43,9.71,347537408,335380480
ragbackup,20.22,15.24,13.95,11.4,254509056,254164992
ragcanonical,17.33,13.76,14.9,10.34,292716544,258162688
ragclaims,17.7,20.42,15.21,12.39,302284800,276758528
ragcommand,28.48,19.81,21.01,11.73,260603904,259981312
ragconfig,10.08,18.57,9.94,10.84,278675456,250445824
ragconfigfile,18.08,8.99,15.62,8.31,350928896,347996160
ragconfiguration,17.57,17.53,15.13,10.5,287096832,253902848
ragembedding,12.39,12.0,12.28,11.65,293404672,280346624
ragevidence,18.94,14.16,13.01,10.68,249036800,245170176
ragevidencejson,7.76,10.48,7.7,10.15,293388288,295993344
ragfile,10.34,14.89,10.21,11.27,256524288,251887616
ragfolder,10.52,8.14,10.31,8.06,322158592,303284224
ragfoundation,9.64,9.18,9.57,8.92,303988736,303841280
ragglossary,10.26,14.32,10.13,10.77,268304384,244416512
ragimprove,21.35,20.59,14.78,12.58,266027008,273973248
ragingest,17.17,20.72,14.72,12.55,356532224,311066624
ragjob,19.59,12.05,13.65,8.93,250871808,257769472
ragmaintain,21.3,8.15,14.69,8.08,267206656,321470464
ragmcp,133.95,13.07,133.68,13.0,411451392,408502272
ragmodel,16.72,19.25,14.22,11.47,249610240,251166720
ragplanning,17.3,19.3,14.82,11.35,287555584,258424832
ragprocess,14.89,12.4,14.77,12.03,351567872,337526784
ragproduct,173.38,22.01,172.97,21.7,586940416,583401472
ragprofile,19.14,16.21,13.18,9.61,252411904,255639552
ragprofilefile,19.48,14.96,13.52,11.31,254836736,252362752
ragproposalio,6.94,8.63,6.89,8.52,267550720,268353536
ragproviderdiagnostics,20.53,9.84,20.41,9.77,338542592,332791808
ragquery,12.41,11.12,12.3,10.96,291323904,290373632
ragquerypolicy,7.77,8.12,7.71,8.03,263929856,269369344
ragqueryprovider,15.92,9.64,15.84,9.57,336887808,337592320
ragregistry,16.54,16.81,11.11,9.67,261586944,246235136
ragrepository,21.27,20.06,14.67,12.27,264699904,259801088
ragretrieval,9.24,12.07,9.16,11.75,318685184,325746688
ragschema,10.28,14.61,10.13,11.0,255197184,241188864
ragstore,10.79,20.24,10.66,12.46,306774016,274120704
ragtrace,19.35,19.72,13.43,11.79,249462784,238714880
ragwork,9.98,11.44,9.88,11.14,355778560,342949888
