sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-NI-S4-cpu-1-cpu-1-control-warmup-1,timing,NI-S4-cpu-1,cpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,warmup,1,1,30-requests,451244000,,0,pass,54110,us
timing-NI-S4-cpu-1-cpu-1-candidate-warmup-1,timing,NI-S4-cpu-1,cpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,warmup,1,2,30-requests,416832000,,0,pass,49599,us
timing-NI-S4-cpu-1-cpu-1-control-recorded-1,timing,NI-S4-cpu-1,cpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,1,1,30-requests,142925000,,0,pass,46627,us
timing-NI-S4-cpu-1-cpu-1-candidate-recorded-1,timing,NI-S4-cpu-1,cpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,1,2,30-requests,397689000,,0,pass,46822,us
timing-NI-S4-cpu-1-cpu-1-candidate-recorded-2,timing,NI-S4-cpu-1,cpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,2,1,30-requests,379378000,,0,pass,47432,us
timing-NI-S4-cpu-1-cpu-1-control-recorded-2,timing,NI-S4-cpu-1,cpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,2,2,30-requests,143007000,,0,pass,46116,us
timing-NI-S4-cpu-1-cpu-1-control-recorded-3,timing,NI-S4-cpu-1,cpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,3,1,30-requests,129032000,,0,pass,46483,us
timing-NI-S4-cpu-1-cpu-1-candidate-recorded-3,timing,NI-S4-cpu-1,cpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,3,2,30-requests,377513000,,0,pass,46227,us
timing-NI-S4-cpu-1-cpu-1-candidate-recorded-4,timing,NI-S4-cpu-1,cpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,4,1,30-requests,374197000,,0,pass,46374,us
timing-NI-S4-cpu-1-cpu-1-control-recorded-4,timing,NI-S4-cpu-1,cpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,4,2,30-requests,131874000,,0,pass,46152,us
timing-NI-S4-cpu-8-cpu-8-control-warmup-1,timing,NI-S4-cpu-8,cpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,warmup,1,1,30-requests,420594000,,0,pass,325693,us
timing-NI-S4-cpu-8-cpu-8-candidate-warmup-1,timing,NI-S4-cpu-8,cpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,warmup,1,2,30-requests,666055000,,0,pass,331956,us
timing-NI-S4-cpu-8-cpu-8-control-recorded-1,timing,NI-S4-cpu-8,cpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,1,1,30-requests,447344000,,0,pass,348398,us
timing-NI-S4-cpu-8-cpu-8-candidate-recorded-1,timing,NI-S4-cpu-8,cpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,1,2,30-requests,666523000,,0,pass,327566,us
timing-NI-S4-cpu-8-cpu-8-candidate-recorded-2,timing,NI-S4-cpu-8,cpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,2,1,30-requests,660474000,,0,pass,327872,us
timing-NI-S4-cpu-8-cpu-8-control-recorded-2,timing,NI-S4-cpu-8,cpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,2,2,30-requests,436159000,,0,pass,328057,us
timing-NI-S4-cpu-8-cpu-8-control-recorded-3,timing,NI-S4-cpu-8,cpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,3,1,30-requests,432903000,,0,pass,328442,us
timing-NI-S4-cpu-8-cpu-8-candidate-recorded-3,timing,NI-S4-cpu-8,cpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,3,2,30-requests,671999000,,0,pass,329399,us
timing-NI-S4-cpu-8-cpu-8-candidate-recorded-4,timing,NI-S4-cpu-8,cpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,4,1,30-requests,670334000,,0,pass,328571,us
timing-NI-S4-cpu-8-cpu-8-control-recorded-4,timing,NI-S4-cpu-8,cpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,4,2,30-requests,416552000,,0,pass,328329,us
timing-NI-S4-required-gpu-1-required-gpu-1-control-warmup-1,timing,NI-S4-required-gpu-1,required-gpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,warmup,1,1,30-requests,215440000,,0,pass,111087,us
timing-NI-S4-required-gpu-1-required-gpu-1-candidate-warmup-1,timing,NI-S4-required-gpu-1,required-gpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,warmup,1,2,30-requests,542471000,,0,pass,178182,us
timing-NI-S4-required-gpu-1-required-gpu-1-control-recorded-1,timing,NI-S4-required-gpu-1,required-gpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,1,1,30-requests,206680000,,0,pass,98814,us
timing-NI-S4-required-gpu-1-required-gpu-1-candidate-recorded-1,timing,NI-S4-required-gpu-1,required-gpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,1,2,30-requests,448930000,,0,pass,101138,us
timing-NI-S4-required-gpu-1-required-gpu-1-candidate-recorded-2,timing,NI-S4-required-gpu-1,required-gpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,2,1,30-requests,455009000,,0,pass,107212,us
timing-NI-S4-required-gpu-1-required-gpu-1-control-recorded-2,timing,NI-S4-required-gpu-1,required-gpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,2,2,30-requests,209935000,,0,pass,99514,us
timing-NI-S4-required-gpu-1-required-gpu-1-control-recorded-3,timing,NI-S4-required-gpu-1,required-gpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,3,1,30-requests,204887000,,0,pass,111000,us
timing-NI-S4-required-gpu-1-required-gpu-1-candidate-recorded-3,timing,NI-S4-required-gpu-1,required-gpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,3,2,30-requests,442469000,,0,pass,100996,us
timing-NI-S4-required-gpu-1-required-gpu-1-candidate-recorded-4,timing,NI-S4-required-gpu-1,required-gpu-1-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,4,1,30-requests,444859000,,0,pass,100109,us
timing-NI-S4-required-gpu-1-required-gpu-1-control-recorded-4,timing,NI-S4-required-gpu-1,required-gpu-1-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,4,2,30-requests,195891000,,0,pass,97770,us
timing-NI-S4-required-gpu-8-required-gpu-8-control-warmup-1,timing,NI-S4-required-gpu-8,required-gpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,warmup,1,1,30-requests,220737000,,0,pass,105595,us
timing-NI-S4-required-gpu-8-required-gpu-8-candidate-warmup-1,timing,NI-S4-required-gpu-8,required-gpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,warmup,1,2,30-requests,474465000,,0,pass,123840,us
timing-NI-S4-required-gpu-8-required-gpu-8-control-recorded-1,timing,NI-S4-required-gpu-8,required-gpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,1,1,30-requests,224023000,,0,pass,121086,us
timing-NI-S4-required-gpu-8-required-gpu-8-candidate-recorded-1,timing,NI-S4-required-gpu-8,required-gpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,1,2,30-requests,499233000,,0,pass,147380,us
timing-NI-S4-required-gpu-8-required-gpu-8-candidate-recorded-2,timing,NI-S4-required-gpu-8,required-gpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,2,1,30-requests,476441000,,0,pass,121573,us
timing-NI-S4-required-gpu-8-required-gpu-8-control-recorded-2,timing,NI-S4-required-gpu-8,required-gpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,2,2,30-requests,205994000,,0,pass,108077,us
timing-NI-S4-required-gpu-8-required-gpu-8-control-recorded-3,timing,NI-S4-required-gpu-8,required-gpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,3,1,30-requests,213915000,,0,pass,116272,us
timing-NI-S4-required-gpu-8-required-gpu-8-candidate-recorded-3,timing,NI-S4-required-gpu-8,required-gpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,3,2,30-requests,461548000,,0,pass,124569,us
timing-NI-S4-required-gpu-8-required-gpu-8-candidate-recorded-4,timing,NI-S4-required-gpu-8,required-gpu-8-candidate,crexx,rxvm,candidate,diagnostic,no,warm-request,recorded,4,1,30-requests,477897000,,0,pass,111191,us
timing-NI-S4-required-gpu-8-required-gpu-8-control-recorded-4,timing,NI-S4-required-gpu-8,required-gpu-8-control,direct-library,rxvm,control,diagnostic,no,warm-request,recorded,4,2,30-requests,225410000,,0,pass,117020,us
