sample_id,stream,line_number,text
timing-NI-S5-cpu-1-cpu-1-control-warmup-1,stdout,1,PREPARE_US=589804
timing-NI-S5-cpu-1-cpu-1-control-warmup-1,stdout,2,FIRST_US=86901
timing-NI-S5-cpu-1-cpu-1-control-warmup-1,stdout,3,WARM_US=1201384 us
timing-NI-S5-cpu-1-cpu-1-control-warmup-1,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-control-warmup-1,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-control-warmup-1,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-control-warmup-1,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-candidate-warmup-1,stdout,1,PREPARE_US=3129736
timing-NI-S5-cpu-1-cpu-1-candidate-warmup-1,stdout,2,FIRST_US=89478
timing-NI-S5-cpu-1-cpu-1-candidate-warmup-1,stdout,3,WARM_US=1651635 us
timing-NI-S5-cpu-1-cpu-1-candidate-warmup-1,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-candidate-warmup-1,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-candidate-warmup-1,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-candidate-warmup-1,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-control-recorded-1,stdout,1,PREPARE_US=945995
timing-NI-S5-cpu-1-cpu-1-control-recorded-1,stdout,2,FIRST_US=96765
timing-NI-S5-cpu-1-cpu-1-control-recorded-1,stdout,3,WARM_US=1213510 us
timing-NI-S5-cpu-1-cpu-1-control-recorded-1,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-control-recorded-1,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-control-recorded-1,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-control-recorded-1,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-1,stdout,1,PREPARE_US=2776812
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-1,stdout,2,FIRST_US=97898
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-1,stdout,3,WARM_US=1221654 us
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-1,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-1,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-1,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-1,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-2,stdout,1,PREPARE_US=2813516
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-2,stdout,2,FIRST_US=125529
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-2,stdout,3,WARM_US=1312296 us
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-2,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-2,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-2,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-2,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-control-recorded-2,stdout,1,PREPARE_US=650385
timing-NI-S5-cpu-1-cpu-1-control-recorded-2,stdout,2,FIRST_US=141618
timing-NI-S5-cpu-1-cpu-1-control-recorded-2,stdout,3,WARM_US=1395213 us
timing-NI-S5-cpu-1-cpu-1-control-recorded-2,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-control-recorded-2,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-control-recorded-2,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-control-recorded-2,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-control-recorded-3,stdout,1,PREPARE_US=591696
timing-NI-S5-cpu-1-cpu-1-control-recorded-3,stdout,2,FIRST_US=98094
timing-NI-S5-cpu-1-cpu-1-control-recorded-3,stdout,3,WARM_US=1174063 us
timing-NI-S5-cpu-1-cpu-1-control-recorded-3,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-control-recorded-3,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-control-recorded-3,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-control-recorded-3,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-3,stdout,1,PREPARE_US=2765110
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-3,stdout,2,FIRST_US=92298
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-3,stdout,3,WARM_US=1098715 us
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-3,stdout,4,TOKENS=6
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-3,stdout,5,TEXT1=4F6E6520616E696D616C2069732061206361742E
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-3,stdout,6,FINISH1=eos
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-3,stdout,7,PASS: NI-S5 fixed generation work 1 10 load_count=1
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-4,stdout,1,PREPARE_US=2607181
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-4,stdout,2,FIRST_US=88597
timing-NI-S5-cpu-1-cpu-1-candidate-recorded-4,stdout,3,WARM_US=1070169 us
